date,station,train_id,hour,day_of_week,holiday,weather,special_event,passenger_count
2025-02-12,Vijayawada,TRN2163,7,2,0,Rain,0,440
2025-07-04,Hyderabad,TRN3864,19,4,1,Heavy Rain,0,827
2025-05-03,Secunderabad,TRN2644,15,5,1,Rain,0,569
2025-05-16,Nellore,TRN1909,7,4,0,Heavy Rain,0,416
2025-04-07,Nizamabad,TRN4539,10,0,0,Cloudy,0,512
2025-05-01,Kurnool,TRN2885,3,3,0,Cloudy,0,301
2025-03-13,Visakhapatnam,TRN2800,7,3,0,Clear,0,630
2025-03-13,Nellore,TRN2096,19,3,0,Rain,0,400
2025-05-23,Vijayawada,TRN4039,14,4,0,Clear,0,429
2025-02-05,Visakhapatnam,TRN3479,23,2,0,Cloudy,0,360
2025-06-15,Nellore,TRN4527,17,6,0,Clear,0,742
2025-03-23,Guntur,TRN1063,1,6,0,Clear,0,309
2025-10-20,Secunderabad,TRN2326,6,0,0,Clear,0,312
2025-12-02,Kurnool,TRN3982,6,1,1,Cloudy,0,607
2025-12-03,Guntur,TRN4221,11,2,0,Clear,0,332
2025-05-15,Vijayawada,TRN1513,5,3,0,Clear,0,319
2025-05-15,Kurnool,TRN2458,13,3,0,Heavy Rain,0,343
2025-05-05,Hyderabad,TRN1951,1,0,0,Clear,0,271
2025-06-09,Hyderabad,TRN2419,3,0,0,Cloudy,0,298
2025-04-08,Warangal,TRN1857,17,1,1,Cloudy,0,937
2025-03-06,Vijayawada,TRN5051,8,3,0,Fog,0,408
2025-12-19,Vijayawada,TRN3129,5,4,1,Heavy Rain,0,456
2025-03-25,Vijayawada,TRN2463,22,1,0,Cloudy,0,411
2025-02-26,Guntur,TRN4753,14,2,0,Cloudy,0,426
2025-08-06,Kurnool,TRN1690,7,2,0,Cloudy,0,530
2025-10-14,Secunderabad,TRN2403,13,1,0,Heavy Rain,0,387
2025-06-18,Vijayawada,TRN3350,19,2,0,Fog,0,561
2025-12-16,Secunderabad,TRN3116,21,1,0,Cloudy,0,655
2025-07-25,Tirupati,TRN3911,5,4,0,Clear,0,393
2025-06-24,Vijayawada,TRN5267,12,1,0,Cloudy,0,327
2025-09-24,Vijayawada,TRN3993,1,2,0,Rain,1,727
2025-08-04,Guntur,TRN5435,13,0,0,Clear,0,491
2025-08-24,Tirupati,TRN1332,5,6,0,Rain,0,442
2025-11-17,Nizamabad,TRN1529,3,0,0,Clear,0,363
2025-11-10,Warangal,TRN4050,1,0,0,Clear,0,266
2025-06-08,Tirupati,TRN4843,10,6,0,Cloudy,0,578
2025-10-11,Guntur,TRN5117,4,5,0,Fog,0,321
2025-05-01,Guntur,TRN5761,4,3,0,Cloudy,0,277
2025-04-08,Guntur,TRN3171,21,1,0,Heavy Rain,0,559
2025-06-17,Tirupati,TRN1332,4,1,0,Clear,0,298
2025-06-19,Vijayawada,TRN5296,22,3,0,Cloudy,0,372
2025-07-04,Warangal,TRN1293,5,4,0,Cloudy,0,238
2025-02-28,Vijayawada,TRN2977,0,4,0,Clear,0,284
2025-10-02,Guntur,TRN5720,4,3,0,Cloudy,0,346
2025-02-11,Vijayawada,TRN5184,15,1,0,Clear,0,342
2025-11-03,Hyderabad,TRN1209,17,0,0,Heavy Rain,0,539
2025-10-22,Hyderabad,TRN4203,9,2,0,Clear,0,700
2025-09-27,Guntur,TRN4559,17,5,0,Clear,0,711
2025-11-27,Warangal,TRN5880,0,3,0,Fog,0,357
2025-11-01,Kurnool,TRN4610,5,5,0,Clear,0,450
2025-10-01,Nizamabad,TRN1668,20,2,0,Cloudy,0,585
2025-10-16,Warangal,TRN5192,10,3,0,Clear,0,529
2025-10-06,Secunderabad,TRN3350,12,0,0,Clear,0,366
2025-05-25,Kurnool,TRN5254,8,6,1,Clear,0,953
2025-08-13,Vijayawada,TRN4894,14,2,0,Cloudy,0,421
2025-03-03,Visakhapatnam,TRN2655,11,0,0,Clear,0,434
2025-05-29,Warangal,TRN3102,10,3,0,Cloudy,0,506
2025-10-19,Nizamabad,TRN1511,9,6,0,Clear,0,702
2025-06-05,Nellore,TRN1503,20,3,0,Cloudy,0,708
2025-12-26,Vijayawada,TRN4409,8,4,1,Cloudy,0,774
2025-09-11,Nizamabad,TRN4636,12,3,0,Clear,1,812
2025-06-16,Tirupati,TRN2798,11,0,0,Cloudy,0,545
2025-12-20,Warangal,TRN5785,12,5,0,Cloudy,0,618
2025-11-27,Warangal,TRN1385,1,3,0,Rain,0,213
2025-02-12,Nizamabad,TRN1847,3,2,1,Clear,0,709
2025-12-29,Kurnool,TRN3206,0,0,0,Cloudy,0,230
2025-04-27,Guntur,TRN4069,18,6,0,Clear,0,666
2025-03-24,Visakhapatnam,TRN4797,18,0,0,Rain,0,539
2025-04-04,Kurnool,TRN3436,11,4,0,Clear,0,533
2025-09-22,Kurnool,TRN2136,14,0,0,Cloudy,0,453
2025-12-29,Visakhapatnam,TRN4059,17,0,0,Clear,0,656
2025-08-18,Nizamabad,TRN2726,16,0,0,Clear,0,418
2025-10-22,Warangal,TRN3985,20,2,0,Clear,0,627
2025-12-25,Warangal,TRN3895,7,3,0,Cloudy,0,579
2025-12-02,Warangal,TRN3362,10,1,0,Heavy Rain,0,442
2025-06-26,Secunderabad,TRN5257,23,3,0,Fog,0,318
2025-06-16,Nizamabad,TRN1654,11,0,0,Clear,0,393
2025-10-23,Visakhapatnam,TRN2768,4,3,0,Clear,0,416
2025-02-26,Guntur,TRN4609,13,2,1,Rain,0,696
2025-11-11,Hyderabad,TRN5972,3,1,0,Clear,0,271
2025-11-22,Guntur,TRN1230,3,5,0,Heavy Rain,0,337
2025-04-26,Vijayawada,TRN4333,2,5,0,Clear,0,505
2025-02-12,Kurnool,TRN3516,17,2,0,Clear,0,625
2025-09-14,Visakhapatnam,TRN1546,19,6,0,Rain,0,818
2025-04-16,Hyderabad,TRN2402,15,2,0,Fog,0,469
2025-08-13,Vijayawada,TRN2099,20,2,0,Clear,0,489
2025-12-02,Visakhapatnam,TRN1580,14,1,0,Clear,0,419
2025-04-08,Visakhapatnam,TRN5095,16,1,0,Cloudy,0,344
2025-09-25,Tirupati,TRN5938,5,3,0,Rain,0,126
2025-05-11,Warangal,TRN3146,0,6,0,Clear,0,430
2025-01-28,Kurnool,TRN3717,9,1,0,Cloudy,0,570
2025-06-30,Secunderabad,TRN4121,4,0,0,Clear,0,315
2025-07-03,Tirupati,TRN1489,7,3,0,Clear,1,961
2025-10-27,Kurnool,TRN2041,6,0,0,Rain,0,300
2025-09-07,Nizamabad,TRN3050,12,6,0,Rain,0,408
2025-12-30,Hyderabad,TRN2446,3,1,0,Rain,0,167
2025-03-01,Tirupati,TRN1109,0,5,0,Cloudy,0,404
2025-03-28,Kurnool,TRN5063,23,4,0,Clear,0,326
2025-10-24,Visakhapatnam,TRN3263,23,4,0,Cloudy,0,197
2025-01-28,Nizamabad,TRN5992,1,1,0,Clear,0,407
2025-12-14,Secunderabad,TRN3115,12,6,0,Rain,0,501
2025-06-09,Visakhapatnam,TRN5124,17,0,0,Cloudy,0,663
2025-09-14,Nizamabad,TRN2257,11,6,0,Cloudy,0,434
2025-08-04,Vijayawada,TRN4384,18,0,0,Clear,0,609
2025-07-15,Tirupati,TRN3763,3,1,0,Clear,0,279
2025-09-01,Guntur,TRN5653,16,0,0,Heavy Rain,0,307
2025-01-09,Nellore,TRN4035,17,3,0,Clear,0,611
2025-04-26,Secunderabad,TRN4717,23,5,0,Fog,0,337
2025-12-30,Vijayawada,TRN2639,0,1,0,Rain,0,236
2025-03-23,Nizamabad,TRN1677,22,6,0,Heavy Rain,0,330
2025-01-17,Nizamabad,TRN2546,5,4,0,Clear,0,307
2025-05-31,Visakhapatnam,TRN4464,13,5,0,Clear,0,529
2025-08-05,Guntur,TRN4450,20,1,1,Cloudy,0,746
2025-03-30,Visakhapatnam,TRN1830,18,6,0,Clear,0,727
2025-06-14,Tirupati,TRN4021,0,5,0,Cloudy,0,410
2025-05-14,Guntur,TRN2992,13,2,0,Clear,0,334
2025-04-20,Tirupati,TRN1843,21,6,0,Rain,1,1037
2025-06-04,Secunderabad,TRN2428,14,2,0,Clear,0,394
2025-08-10,Nellore,TRN4621,12,6,1,Clear,0,750
2025-07-25,Nizamabad,TRN3044,0,4,0,Heavy Rain,0,216
2025-03-11,Tirupati,TRN4789,11,1,0,Cloudy,0,330
2025-09-19,Nellore,TRN5616,19,4,0,Rain,0,524
2025-01-04,Vijayawada,TRN2807,7,5,0,Cloudy,0,694
2025-04-14,Secunderabad,TRN5791,12,0,0,Cloudy,0,451
2025-10-05,Kurnool,TRN5815,0,6,0,Clear,0,349
2025-12-23,Hyderabad,TRN3439,1,1,0,Clear,0,351
2025-05-17,Vijayawada,TRN1556,14,5,0,Clear,0,449
2025-04-24,Nizamabad,TRN2114,21,3,0,Clear,0,590
2025-01-09,Secunderabad,TRN3371,4,3,0,Clear,0,333
2025-04-11,Nizamabad,TRN4352,19,4,0,Clear,0,552
2025-11-29,Guntur,TRN5966,3,5,0,Clear,0,446
2025-09-29,Nellore,TRN5317,20,0,0,Cloudy,0,610
2025-04-14,Tirupati,TRN2029,14,0,0,Cloudy,0,408
2025-06-24,Hyderabad,TRN4187,0,1,0,Cloudy,0,286
2025-10-29,Vijayawada,TRN3397,15,2,0,Clear,0,357
2025-11-27,Tirupati,TRN3549,22,3,0,Clear,0,159
2025-06-14,Tirupati,TRN3225,15,5,0,Clear,0,338
2025-02-20,Kurnool,TRN4519,20,3,0,Rain,0,526
2025-12-11,Vijayawada,TRN1556,10,3,0,Heavy Rain,0,441
2025-09-09,Nellore,TRN4116,21,1,0,Fog,0,514
2025-06-11,Visakhapatnam,TRN5772,14,2,0,Heavy Rain,0,251
2025-04-16,Hyderabad,TRN5399,17,2,0,Clear,0,694
2025-07-02,Kurnool,TRN5341,11,2,0,Cloudy,0,262
2025-07-30,Visakhapatnam,TRN1941,1,2,0,Clear,0,221
2025-05-16,Visakhapatnam,TRN1173,0,4,0,Cloudy,0,263
2025-01-04,Warangal,TRN2611,9,5,0,Clear,0,740
2025-08-10,Nellore,TRN4970,21,6,0,Cloudy,0,626
2025-02-15,Vijayawada,TRN4991,16,5,0,Clear,0,596
2025-05-05,Warangal,TRN2282,20,0,0,Clear,1,949
2025-12-05,Kurnool,TRN1506,15,4,0,Rain,0,318
2025-05-24,Visakhapatnam,TRN5410,17,5,0,Clear,1,1103
2025-09-02,Visakhapatnam,TRN4681,20,1,0,Cloudy,0,719
2025-08-09,Warangal,TRN4009,7,5,0,Heavy Rain,0,580
2025-02-02,Nizamabad,TRN1530,22,6,0,Fog,1,774
2025-11-28,Visakhapatnam,TRN1151,6,4,0,Heavy Rain,0,181
2025-07-24,Visakhapatnam,TRN5717,21,3,0,Clear,1,864
2025-08-07,Secunderabad,TRN2012,6,3,0,Clear,0,257
2025-12-11,Nizamabad,TRN4954,1,3,0,Clear,0,416
2025-02-03,Vijayawada,TRN2454,17,0,0,Rain,0,460
2025-11-07,Kurnool,TRN5295,17,4,0,Clear,0,608
2025-03-24,Hyderabad,TRN1698,21,0,0,Clear,0,547
2025-01-15,Tirupati,TRN4777,15,2,0,Clear,0,450
2025-06-21,Nellore,TRN5249,3,5,0,Rain,0,530
2025-03-19,Guntur,TRN1409,14,2,0,Clear,0,359
2025-07-13,Visakhapatnam,TRN5183,10,6,0,Rain,0,703
2025-08-16,Visakhapatnam,TRN3092,8,5,0,Clear,0,762
2025-08-21,Hyderabad,TRN1266,22,3,0,Clear,0,267
2025-12-18,Visakhapatnam,TRN2953,8,3,0,Rain,0,534
2025-05-28,Vijayawada,TRN4694,16,2,0,Clear,0,414
2025-04-25,Secunderabad,TRN5650,17,4,0,Rain,1,948
2025-08-11,Nizamabad,TRN2931,0,0,0,Heavy Rain,0,218
2025-07-03,Secunderabad,TRN4907,12,3,0,Rain,0,285
2025-10-12,Kurnool,TRN2028,13,6,0,Cloudy,0,583
2025-10-09,Hyderabad,TRN3857,14,3,0,Clear,0,389
2025-10-04,Warangal,TRN3923,22,5,0,Cloudy,0,478
2025-06-14,Warangal,TRN5805,13,5,0,Rain,0,448
2025-07-14,Kurnool,TRN5164,7,0,0,Heavy Rain,0,563
2025-09-08,Visakhapatnam,TRN5535,7,0,0,Clear,0,593
2025-02-21,Tirupati,TRN3036,5,4,1,Rain,0,467
2025-06-21,Kurnool,TRN1362,4,5,0,Clear,0,450
2025-05-01,Visakhapatnam,TRN4814,9,3,0,Cloudy,0,529
2025-03-14,Warangal,TRN4955,0,4,0,Rain,0,160
2025-01-02,Secunderabad,TRN1204,17,3,0,Clear,0,444
2025-12-22,Secunderabad,TRN3065,15,0,0,Clear,0,353
2025-03-17,Guntur,TRN5900,22,0,0,Clear,0,159
2025-09-25,Hyderabad,TRN3453,1,3,0,Cloudy,0,407
2025-06-17,Secunderabad,TRN2912,11,1,0,Clear,0,372
2025-11-26,Tirupati,TRN1924,18,2,0,Clear,0,581
2025-07-17,Nizamabad,TRN3295,8,3,0,Heavy Rain,0,429
2025-11-20,Nizamabad,TRN3840,18,3,0,Clear,0,538
2025-11-19,Kurnool,TRN5251,2,2,0,Clear,0,388
2025-04-09,Warangal,TRN2932,16,2,0,Cloudy,0,332
2025-06-05,Kurnool,TRN5839,17,3,0,Cloudy,0,519
2025-07-03,Vijayawada,TRN1302,20,3,0,Clear,0,659
2025-01-18,Visakhapatnam,TRN5215,15,5,0,Clear,0,485
2025-10-18,Kurnool,TRN5199,15,5,0,Clear,0,593
2025-03-28,Secunderabad,TRN4320,17,4,0,Clear,0,662
2025-08-25,Secunderabad,TRN2050,17,0,0,Fog,0,515
2025-02-18,Kurnool,TRN5920,5,1,0,Heavy Rain,0,282
2025-03-08,Kurnool,TRN3080,9,5,0,Clear,0,731
2025-10-21,Secunderabad,TRN4143,2,1,0,Cloudy,0,295
2025-04-29,Hyderabad,TRN2025,21,1,0,Clear,0,495
2025-01-07,Guntur,TRN4766,17,1,0,Clear,0,730
2025-02-17,Kurnool,TRN4906,13,0,0,Fog,0,458
2025-02-04,Nellore,TRN1675,4,1,0,Cloudy,0,183
2025-12-15,Guntur,TRN5457,17,0,0,Clear,0,560
2025-02-05,Guntur,TRN1395,22,2,0,Clear,0,294
2025-02-24,Nellore,TRN5938,3,0,0,Cloudy,0,261
2025-09-27,Nellore,TRN1966,11,5,0,Rain,0,457
2025-07-27,Nellore,TRN1654,15,6,0,Clear,0,518
2025-04-12,Secunderabad,TRN5840,2,5,0,Cloudy,0,484
2025-10-26,Kurnool,TRN4371,7,6,0,Fog,0,641
2025-04-07,Visakhapatnam,TRN5429,11,0,0,Rain,1,654
2025-07-18,Visakhapatnam,TRN4314,3,4,0,Clear,1,575
2025-03-26,Tirupati,TRN2357,15,2,0,Clear,0,484
2025-02-10,Nellore,TRN3553,4,0,0,Clear,0,196
2025-11-01,Nizamabad,TRN1220,22,5,0,Clear,0,321
2025-07-05,Visakhapatnam,TRN5924,16,5,0,Clear,0,489
2025-07-15,Tirupati,TRN1891,17,1,0,Clear,0,595
2025-11-27,Tirupati,TRN5859,14,3,0,Cloudy,0,377
2025-07-20,Kurnool,TRN4568,12,6,0,Fog,0,612
2025-09-15,Guntur,TRN2735,18,0,0,Clear,0,624
2025-05-20,Hyderabad,TRN1340,21,1,0,Cloudy,1,884
2025-12-23,Guntur,TRN4939,14,1,1,Cloudy,0,626
2025-12-17,Nizamabad,TRN2727,16,2,0,Clear,0,426
2025-11-02,Guntur,TRN1160,20,6,0,Heavy Rain,0,797
2025-07-03,Warangal,TRN4394,5,3,0,Heavy Rain,0,182
2025-07-02,Kurnool,TRN2338,5,2,0,Clear,0,300
2025-02-24,Kurnool,TRN3632,18,0,0,Clear,0,589
2025-06-02,Warangal,TRN1226,5,0,0,Clear,0,162
2025-10-22,Warangal,TRN2995,2,2,0,Clear,0,348
2025-04-21,Secunderabad,TRN1247,1,0,0,Clear,0,148
2025-09-28,Guntur,TRN1535,7,6,0,Heavy Rain,0,543
2025-02-22,Guntur,TRN4764,18,5,0,Clear,0,698
2025-08-10,Guntur,TRN5068,6,6,0,Cloudy,0,433
2025-07-18,Guntur,TRN2909,0,4,0,Rain,0,151
2025-09-20,Nizamabad,TRN3385,20,5,0,Rain,0,594
2025-03-19,Secunderabad,TRN1638,9,2,0,Cloudy,0,443
2025-09-14,Nellore,TRN3744,4,6,0,Heavy Rain,0,266
2025-02-18,Tirupati,TRN4012,21,1,0,Heavy Rain,0,532
2025-08-23,Visakhapatnam,TRN2333,9,5,0,Clear,0,622
2025-03-12,Warangal,TRN2461,5,2,0,Clear,0,276
2025-07-28,Vijayawada,TRN4123,7,0,0,Clear,0,384
2025-05-23,Tirupati,TRN4142,15,4,0,Cloudy,0,434
2025-07-13,Kurnool,TRN5353,9,6,0,Cloudy,0,763
2025-11-09,Kurnool,TRN2547,19,6,0,Clear,0,643
2025-03-07,Warangal,TRN1754,22,4,0,Clear,0,162
2025-01-18,Vijayawada,TRN5686,2,5,0,Cloudy,0,390
2025-12-03,Guntur,TRN2074,5,2,0,Clear,0,299
2025-07-31,Hyderabad,TRN3203,22,3,0,Heavy Rain,0,293
2025-10-16,Secunderabad,TRN5662,1,3,0,Rain,1,670
2025-08-28,Kurnool,TRN5352,6,3,0,Clear,0,225
2025-06-01,Guntur,TRN3131,9,6,0,Rain,0,662
2025-03-07,Kurnool,TRN1365,3,4,1,Clear,0,466
2025-10-16,Secunderabad,TRN3542,22,3,0,Heavy Rain,0,352
2025-01-08,Warangal,TRN5380,20,2,0,Heavy Rain,0,566
2025-03-22,Hyderabad,TRN5211,3,5,0,Rain,0,360
2025-11-27,Guntur,TRN5050,8,3,0,Clear,0,534
2025-10-17,Warangal,TRN3952,11,4,0,Clear,0,507
2025-07-11,Tirupati,TRN3651,6,4,0,Clear,0,169
2025-01-03,Visakhapatnam,TRN2828,6,4,0,Rain,0,249
2025-12-18,Vijayawada,TRN2297,17,3,0,Clear,0,579
2025-12-14,Guntur,TRN2652,20,6,0,Cloudy,0,803
2025-02-15,Vijayawada,TRN1660,19,5,0,Clear,0,740
2025-04-30,Warangal,TRN3732,21,2,0,Clear,0,753
2025-08-29,Hyderabad,TRN5773,3,4,0,Rain,0,306
2025-12-15,Tirupati,TRN4294,5,0,0,Clear,0,323
2025-05-13,Guntur,TRN5919,0,1,0,Clear,0,274
2025-05-28,Secunderabad,TRN4925,3,2,0,Clear,0,261
2025-10-01,Visakhapatnam,TRN4937,9,2,0,Clear,0,576
2025-01-17,Nellore,TRN2064,6,4,0,Clear,0,320
2025-12-02,Nizamabad,TRN2750,6,1,0,Rain,0,239
2025-07-28,Nellore,TRN3410,12,0,0,Fog,0,354
2025-01-30,Warangal,TRN1369,7,3,0,Rain,0,529
2025-03-17,Nizamabad,TRN4814,5,0,0,Clear,0,310
2025-02-19,Nizamabad,TRN2994,0,2,0,Rain,0,152
2025-08-21,Secunderabad,TRN5139,4,3,0,Heavy Rain,0,189
2025-02-18,Secunderabad,TRN1138,20,1,0,Cloudy,0,705
2025-02-26,Kurnool,TRN5165,5,2,0,Cloudy,0,274
2025-07-27,Vijayawada,TRN1180,12,6,0,Rain,0,524
2025-04-04,Vijayawada,TRN4756,12,4,0,Clear,0,400
2025-10-27,Tirupati,TRN4439,20,0,1,Clear,0,736
2025-10-28,Nellore,TRN4466,16,1,0,Cloudy,0,528
2025-05-14,Nizamabad,TRN5363,17,2,0,Cloudy,0,504
2025-09-24,Secunderabad,TRN4665,1,2,0,Cloudy,0,509
2025-04-04,Guntur,TRN2895,17,4,0,Cloudy,0,559
2025-06-27,Vijayawada,TRN3843,5,4,0,Cloudy,0,276
2025-10-12,Nizamabad,TRN4282,3,6,0,Clear,0,461
2025-05-30,Kurnool,TRN1752,21,4,0,Clear,0,593
2025-08-26,Tirupati,TRN4080,0,1,0,Cloudy,0,361
2025-08-10,Visakhapatnam,TRN4623,5,6,0,Cloudy,0,488
2025-04-30,Tirupati,TRN4241,11,2,0,Clear,0,323
2025-05-16,Nizamabad,TRN2612,2,4,0,Cloudy,0,348
2025-09-30,Nizamabad,TRN1354,0,1,0,Cloudy,0,264
2025-06-19,Guntur,TRN4910,10,3,0,Heavy Rain,0,610
2025-07-15,Kurnool,TRN3716,23,1,0,Clear,0,213
2025-10-21,Nizamabad,TRN5620,2,1,0,Clear,0,284
2025-12-20,Warangal,TRN4759,12,5,1,Clear,0,738
2025-05-25,Warangal,TRN5153,3,6,0,Clear,0,429
2025-01-10,Secunderabad,TRN2975,13,4,0,Cloudy,0,445
2025-09-21,Hyderabad,TRN4132,15,6,0,Cloudy,1,796
2025-08-14,Guntur,TRN5197,22,3,0,Clear,0,262
2025-01-06,Visakhapatnam,TRN1221,10,0,0,Heavy Rain,0,434
2025-07-02,Vijayawada,TRN1280,5,2,0,Clear,0,185
2025-01-24,Vijayawada,TRN1256,21,4,0,Heavy Rain,0,576
2025-02-06,Visakhapatnam,TRN2235,17,3,0,Cloudy,0,676
2025-11-16,Tirupati,TRN4993,16,6,0,Clear,0,512
2025-05-06,Visakhapatnam,TRN5846,10,1,1,Heavy Rain,0,700
2025-03-12,Warangal,TRN3471,16,2,0,Cloudy,0,285
2025-05-07,Nizamabad,TRN3326,13,2,0,Cloudy,0,411
2025-05-01,Nizamabad,TRN4491,19,3,0,Clear,0,566
2025-10-19,Vijayawada,TRN4517,18,6,0,Cloudy,0,829
2025-09-02,Kurnool,TRN3363,5,1,0,Clear,0,250
2025-01-06,Secunderabad,TRN2363,12,0,0,Fog,0,404
2025-09-25,Kurnool,TRN2913,10,3,0,Clear,0,535
2025-06-20,Warangal,TRN3462,2,4,0,Cloudy,0,355
2025-02-18,Nizamabad,TRN1839,1,1,0,Clear,0,269
2025-07-28,Kurnool,TRN2862,4,0,1,Cloudy,0,597
2025-04-12,Tirupati,TRN3787,2,5,0,Cloudy,0,489
2025-02-06,Secunderabad,TRN4312,11,3,0,Clear,0,467
2025-12-24,Guntur,TRN2601,2,2,0,Fog,0,420
2025-04-11,Tirupati,TRN1334,11,4,0,Cloudy,0,387
2025-10-04,Tirupati,TRN2941,12,5,0,Cloudy,0,425
