train_id,engine_temperature,brake_pressure,vibration,wheel_condition,engine_hours,last_service_days,maintenance_count,failure
1036,56.05,91.89,6.2,94,4656,144,5,1
1724,69.07,89.23,6.77,64,8767,197,4,0
31,102.5,86.61,1.88,55,4622,16,2,0
696,87.83,103.11,5.72,67,9829,37,5,0
1893,81.87,104.23,2.26,82,4271,347,0,1
2202,117.06,88.54,4.2,55,6328,133,2,1
702,85.06,107.37,2.54,65,13816,51,6,0
1661,83.79,94.8,4.08,61,4386,212,9,0
3078,91.85,97.12,7.89,50,4255,139,12,0
3011,83.41,104.19,5.08,90,11490,139,7,0
2589,78.37,99.54,5.07,66,4203,244,14,0
2332,106.51,89.53,4.0,67,2968,209,0,0
1800,78.24,100.26,5.34,94,9724,297,3,1
1608,73.76,85.81,3.3,63,6911,166,0,0
1942,83.07,101.19,2.42,84,8181,189,0,0
3082,106.84,83.67,2.1,75,12407,108,10,1
2480,71.49,94.35,3.32,51,13146,355,14,0
1890,98.76,113.23,3.02,53,9809,120,0,0
142,79.49,111.15,4.94,67,2155,276,4,0
12,81.4,82.54,6.19,75,12264,153,7,1
1983,61.94,107.52,5.33,76,14404,322,14,0
2872,90.11,97.56,4.21,91,8570,302,8,0
1332,73.87,84.62,2.54,51,11008,359,5,1
2430,86.64,87.15,4.97,81,11595,142,9,0
775,83.29,88.2,4.61,94,5743,2,3,1
1959,84.92,107.33,5.72,89,14930,229,4,0
185,75.63,98.52,3.96,53,2574,139,11,0
930,64.96,98.66,5.54,75,3185,79,9,0
1494,74.49,84.2,4.06,63,8364,18,8,0
2828,116.68,95.61,3.92,56,8665,59,12,1
2103,75.51,97.82,3.22,92,6272,282,11,0
1296,70.88,103.91,6.49,80,12212,116,13,0
1679,84.74,87.22,4.2,77,12452,20,8,0
11,73.24,107.71,4.35,52,7130,182,7,0
2585,82.58,108.72,6.03,54,11610,133,1,1
3134,84.61,89.21,4.6,86,6332,31,13,0
213,101.62,110.51,5.84,55,5038,51,14,1
1761,106.35,98.51,4.92,72,2981,27,12,1
2708,86.11,97.99,5.37,70,6910,314,3,0
1394,89.09,103.17,1.37,68,4033,344,14,1
1481,67.38,101.43,2.5,81,3479,253,8,0
2921,76.15,99.72,3.5,81,6693,184,12,0
1641,77.77,93.42,0.61,76,2914,86,10,0
1710,93.31,80.36,4.6,90,4405,130,8,0
2582,100.83,96.02,3.44,94,8170,61,6,0
2880,83.89,101.16,4.42,68,14011,62,2,0
979,85.72,92.45,5.97,83,1369,201,6,0
2499,76.38,104.65,1.07,94,14489,291,3,0
1360,83.89,91.0,5.4,77,3092,78,6,0
1088,76.1,88.41,3.61,81,5193,182,1,0
3057,101.93,102.92,4.33,95,2399,33,8,0
2110,85.98,80.46,2.69,71,8520,225,8,0
2168,75.75,97.27,5.14,86,2392,123,4,0
240,90.12,97.72,4.41,64,1766,132,12,0
2493,111.98,95.27,6.88,83,9772,240,9,1
1830,100.05,97.06,6.1,75,10802,77,3,0
2780,70.42,99.44,6.25,53,7449,298,14,1
1703,67.93,92.74,5.02,89,12220,301,1,1
324,77.87,105.69,5.43,85,2701,259,12,0
469,81.48,103.33,2.9,90,8347,20,13,0
2777,95.37,97.01,3.51,60,13975,269,13,1
3015,86.23,95.06,4.72,65,2170,295,11,0
923,79.9,95.35,5.66,85,11771,361,8,0
3014,80.59,86.44,2.5,56,2676,240,7,0
462,96.57,81.97,1.88,79,8012,151,11,0
2875,68.01,93.35,4.06,61,13048,159,7,1
811,81.36,88.98,5.35,52,5734,298,9,0
2980,64.3,98.13,5.87,95,7588,338,0,1
698,65.49,104.46,6.28,79,10574,235,12,0
2018,98.55,95.93,4.97,50,4894,192,9,1
396,91.62,86.04,4.77,57,9648,261,14,0
2987,76.29,92.72,5.21,88,11647,130,7,0
2798,97.48,94.62,1.84,71,1208,186,14,0
2813,74.45,101.0,1.65,95,14264,132,9,0
2108,78.73,105.36,3.67,85,4122,292,14,0
308,77.31,86.34,2.83,96,7459,116,13,0
1662,84.51,99.63,3.42,68,6603,44,1,0
2317,94.67,92.99,4.99,87,4873,161,3,1
1472,86.65,98.4,3.09,50,12558,32,2,0
2573,83.35,91.63,2.75,86,8514,132,3,0
1167,78.04,87.63,0.94,67,7927,175,14,0
3010,63.62,90.51,3.51,65,12311,41,2,0
2739,60.57,93.42,2.75,70,10389,226,9,0
1375,105.6,96.93,3.48,55,11899,97,8,1
3010,80.38,89.14,2.33,100,8226,127,11,0
1588,97.7,108.57,2.14,92,14082,220,8,0
195,85.78,87.21,3.07,65,2346,257,1,0
2606,79.65,101.19,5.06,80,8072,310,3,0
1681,72.52,85.79,3.08,67,7169,215,2,0
2027,94.39,84.48,5.72,86,4275,287,7,0
2349,95.98,83.49,4.45,59,14479,269,4,1
1595,83.68,91.56,3.88,90,6967,255,11,0
1937,76.48,81.94,3.06,78,13153,271,0,1
2532,107.12,92.31,4.34,74,4893,212,5,1
1361,70.49,88.44,6.38,90,7666,63,10,0
1854,63.62,95.87,5.96,96,12535,225,2,0
516,68.49,94.96,2.9,68,2083,298,9,1
2882,71.68,100.53,5.36,74,3919,3,14,0
3103,81.82,103.21,2.88,73,14406,359,14,0
2433,100.49,94.28,4.69,94,1783,258,7,0
1418,103.75,90.35,3.52,76,6554,307,7,1
1680,89.08,99.31,4.17,96,10769,169,9,0
3023,85.67,94.78,2.56,58,14410,292,2,0
1265,79.78,93.67,3.08,71,1215,35,5,0
448,84.34,90.99,6.13,56,11450,101,2,1
2488,100.11,90.16,4.33,52,8410,306,5,0
1956,91.97,87.18,6.39,98,5405,180,5,0
724,70.88,105.81,4.19,98,8980,289,4,1
798,97.23,94.65,3.81,81,7144,32,2,0
2945,89.61,112.33,6.18,85,1102,192,1,0
2394,90.21,98.12,1.93,100,12839,352,2,1
2738,61.12,99.33,1.92,75,11234,255,5,0
272,82.29,88.41,-0.06,70,7097,84,3,0
2163,76.29,100.53,4.02,89,4061,234,7,0
104,99.11,81.38,2.24,97,8274,116,1,1
2210,101.62,109.76,5.9,95,3052,45,12,0
414,93.73,100.38,4.39,78,9796,213,8,0
2064,89.76,93.69,3.47,72,3298,60,0,0
2885,83.99,91.76,5.06,73,11754,129,14,0
2386,81.73,105.54,4.2,86,6823,143,9,0
3155,68.84,97.27,4.83,88,10084,32,9,0
1134,90.71,95.64,5.11,91,14264,292,7,0
1296,94.92,97.91,5.8,56,4847,15,8,0
1218,81.24,81.87,2.31,89,14670,78,10,0
3066,87.74,97.03,4.62,65,4573,229,11,0
2771,81.19,92.04,4.17,93,12800,294,4,0
380,101.07,72.56,3.84,63,6628,359,3,1
220,85.93,115.26,3.74,76,13894,303,7,1
2548,47.64,98.8,3.2,74,9770,89,9,0
904,103.12,89.22,2.44,95,2066,319,0,0
2458,89.28,100.83,3.59,56,3437,149,1,0
3008,84.4,100.2,2.2,53,14000,289,10,1
2835,86.74,98.41,1.49,71,7169,291,0,0
902,84.4,92.29,3.21,76,14752,85,5,0
2688,78.02,95.46,4.94,58,2060,306,12,0
2960,80.5,89.18,2.37,73,10883,167,6,1
1988,93.41,98.73,8.0,63,1468,267,14,1
1881,72.55,108.84,5.39,64,6706,140,2,0
2079,75.72,91.72,3.93,79,8183,336,0,0
73,77.62,91.79,3.19,99,10657,323,14,1
364,85.29,102.09,5.1,94,3479,244,6,0
656,62.16,98.54,2.81,87,8754,317,9,0
699,87.44,82.73,5.74,73,9180,19,8,0
2919,86.76,88.65,4.22,58,3756,100,12,0
264,88.05,100.84,2.35,61,14455,60,2,0
1750,84.26,102.49,2.0,84,7519,282,2,0
1542,62.06,83.25,5.72,57,12250,260,0,0
2200,90.97,85.06,5.38,58,8207,84,9,0
1861,101.25,84.83,4.99,89,4899,293,13,1
1379,90.77,81.89,4.7,54,14400,272,14,1
2671,85.49,89.82,2.28,73,7297,354,12,0
2056,69.35,89.38,0.61,65,5783,182,14,0
1001,52.2,92.08,3.11,80,14491,312,6,1
273,84.2,81.53,2.43,63,12601,35,14,1
456,85.98,103.41,3.93,86,11384,287,9,0
738,76.1,84.45,5.18,77,10717,138,1,0
2143,98.25,108.69,3.82,73,14369,357,1,0
1395,86.16,92.35,4.52,57,9819,27,13,0
1125,92.24,104.18,1.78,76,13220,126,4,0
1725,91.6,81.13,6.17,62,6369,169,1,0
2563,93.98,101.36,2.22,51,13474,237,6,0
2292,74.47,87.92,3.04,96,13289,231,7,0
768,70.1,111.77,2.68,91,6383,282,5,0
2060,107.76,97.41,3.67,66,11138,153,10,0
1473,93.02,95.83,6.83,54,9857,246,9,1
1853,93.91,103.26,4.85,65,7571,2,12,0
2212,82.72,83.34,2.82,71,7462,284,9,1
805,82.2,103.28,2.28,92,11265,326,11,1
2559,86.26,92.89,1.93,50,9482,324,7,0
1005,85.74,90.36,3.52,80,2311,148,14,0
1418,97.98,105.13,2.84,96,11012,180,2,0
1658,78.39,101.13,4.16,52,14159,171,4,0
2549,75.04,99.87,2.01,96,12377,209,8,0
1347,93.58,97.42,1.75,50,2629,348,12,0
1114,65.32,106.35,6.38,68,6986,289,7,0
541,75.41,89.16,4.22,68,12323,124,9,1
1439,99.41,109.03,5.22,79,13954,66,7,0
2296,80.0,92.27,5.32,96,12826,147,13,0
457,69.51,88.21,4.75,99,1423,47,13,0
204,78.26,100.0,5.99,86,3488,150,1,0
375,65.54,89.17,5.2,99,8612,40,3,0
2142,68.17,97.31,4.51,70,7888,339,13,0
2822,76.39,98.77,4.43,50,3983,257,7,0
2890,98.24,93.6,5.43,61,11772,331,1,1
1339,72.68,93.35,4.83,58,6305,49,0,0
2448,84.44,95.75,3.75,96,4884,49,7,0
1778,74.35,88.97,3.52,92,13636,234,11,0
429,74.92,92.55,2.75,84,1095,53,11,0
1016,48.66,98.81,2.5,56,10159,68,5,0
955,95.81,83.26,4.04,56,5500,225,10,0
348,81.06,82.62,2.89,95,13219,49,12,0
2453,70.43,102.02,3.81,75,8486,60,4,0
900,76.93,100.74,3.54,53,6685,114,11,0
651,79.51,90.47,2.94,82,4487,70,10,1
2341,74.33,96.33,6.12,54,8716,360,2,1
1536,101.15,115.62,5.23,85,12026,317,0,1
945,89.51,104.82,6.3,96,3558,123,3,0
1672,85.85,97.59,2.56,79,13461,86,10,0
2228,94.28,94.44,1.45,51,2088,340,12,0
1532,88.44,106.24,5.44,97,1045,186,4,0
1446,80.49,94.76,6.19,72,8939,159,7,0
1161,87.64,95.03,0.81,97,7847,317,1,0
1762,108.69,98.17,3.71,66,7461,321,13,1
598,69.28,83.99,3.98,54,4788,209,2,0
2599,68.85,100.12,5.67,56,5371,188,7,0
1318,78.93,91.23,6.26,78,1733,31,3,0
477,84.25,87.57,3.29,55,3666,107,2,0
2645,88.22,90.93,3.93,65,2555,59,10,0
1440,80.93,93.36,2.16,60,1793,51,14,0
3089,98.78,82.07,5.46,70,9043,330,4,0
2102,84.06,99.01,5.48,58,10381,101,3,1
1738,96.51,83.18,4.15,77,4133,2,11,0
1487,93.19,109.08,4.1,68,3938,221,11,0
2839,90.95,94.59,4.83,74,13444,203,4,0
1747,99.7,85.3,3.49,54,13539,318,1,1
2407,94.25,100.17,5.49,67,8891,98,6,0
1090,104.45,75.25,4.06,83,9659,275,9,1
2681,69.56,97.96,6.36,65,3350,170,8,0
2797,95.25,90.23,5.99,93,7169,219,6,0
619,87.65,96.67,5.92,98,2127,61,0,0
59,80.6,85.15,3.73,50,9252,266,1,1
2883,62.81,86.01,6.89,52,14766,89,14,1
1658,81.81,95.0,5.08,91,6958,197,14,0
1145,89.82,90.05,5.76,96,1199,302,5,0
2790,84.4,105.37,3.13,76,8953,324,12,0
1987,101.75,95.83,5.08,62,7929,126,5,0
1958,73.26,93.49,3.82,93,7011,220,8,0
1717,85.53,100.84,1.72,100,9300,306,5,0
407,97.82,89.81,1.82,59,3859,175,11,0
2064,89.62,96.6,3.21,79,3830,223,10,0
155,97.58,104.11,5.45,71,6263,248,0,0
2118,96.04,101.1,6.16,90,7619,279,10,1
447,87.86,95.66,1.76,82,5730,196,3,0
3108,85.56,91.22,3.96,77,3466,137,5,0
2668,100.19,91.74,2.88,88,7301,74,1,0
2288,90.85,113.49,2.95,100,4772,222,2,0
2567,100.32,89.78,7.39,50,3327,276,5,1
134,84.51,79.34,3.72,63,8000,255,10,1
3177,79.04,107.08,6.55,94,9738,204,3,0
1884,54.99,95.07,4.22,91,4511,23,11,0
1641,93.33,100.0,2.24,65,6361,110,12,0
1421,81.89,111.41,6.38,88,12745,169,8,0
3051,102.37,81.14,5.34,65,12466,155,6,0
1018,83.79,98.67,4.74,64,11043,215,12,1
743,98.45,94.87,5.52,58,13001,180,7,0
1584,83.56,93.57,4.57,52,9318,147,3,0
2192,85.96,93.97,6.31,51,8196,49,4,1
706,76.71,88.51,1.94,59,5052,66,8,1
2295,80.82,101.01,4.21,89,8768,357,2,1
1264,88.74,92.33,3.82,91,13356,168,4,0
1760,70.29,106.83,2.15,98,9035,336,2,1
1314,89.1,102.67,5.4,63,8303,288,13,0
2495,95.58,95.56,4.15,70,2575,335,10,0
1577,79.14,91.68,3.32,60,13381,118,2,0
23,87.51,102.97,2.95,59,3049,81,14,1
281,85.85,93.44,4.23,67,2052,68,13,0
2221,76.31,83.82,2.4,69,4256,228,4,1
172,92.42,103.99,3.08,55,6340,347,11,1
1702,60.87,83.44,2.63,52,11855,304,2,1
1246,67.15,94.85,3.9,88,1382,192,14,0
124,88.58,96.53,4.99,78,9129,105,9,0
744,82.02,93.07,4.06,57,12310,246,6,1
1742,84.67,103.1,2.43,80,3127,76,13,0
1006,85.49,111.97,2.46,51,5207,195,8,0
698,98.69,94.33,2.07,88,9460,303,10,0
1614,84.32,97.51,5.32,90,3667,339,11,0
1172,68.1,105.38,3.51,95,2541,352,8,1
3,99.03,89.95,3.39,68,1090,67,8,0
2704,91.05,89.1,4.57,53,8019,169,4,1
2469,85.95,77.14,2.94,72,12447,265,7,0
1950,90.62,92.29,3.36,92,14992,319,12,1
648,101.72,96.22,4.99,95,5676,160,4,1
1566,64.69,104.26,3.27,60,14242,220,11,1
1886,98.52,98.68,3.0,68,3211,57,6,0
667,85.49,91.97,6.17,89,9287,109,11,0
3079,82.41,98.06,2.91,84,6468,146,5,1
557,85.49,87.27,5.92,100,2637,276,8,0
725,92.11,82.75,2.92,52,3357,235,2,0
358,104.98,86.13,2.72,72,6074,321,3,0
2974,74.13,98.16,6.38,50,14411,67,2,1
2989,77.7,83.43,3.05,75,10095,180,6,0
347,82.94,78.48,5.9,85,2192,248,3,0
2923,113.46,108.19,2.42,75,2201,30,3,1
637,94.68,103.49,1.85,52,8522,184,0,0
2784,99.37,108.83,1.29,84,2396,230,0,0
2747,85.68,80.69,0.6,53,1534,360,11,0
368,73.03,95.48,4.42,93,1497,205,8,0
2725,98.29,99.79,3.85,65,12412,226,13,0
3079,83.57,90.86,5.12,55,5856,44,6,1
853,77.61,83.48,4.37,51,5927,299,13,1
1951,88.72,94.59,2.93,71,3009,249,12,0
2678,78.84,87.9,5.0,60,8208,4,8,0
3141,93.36,107.96,4.66,87,14774,341,6,1
2185,77.26,88.57,3.37,79,6664,192,2,0
921,82.02,100.1,3.5,53,11849,280,11,1
2986,77.93,94.6,2.33,76,4234,18,6,0
2376,67.19,90.82,2.78,99,3849,129,8,0
2402,84.41,87.61,2.56,87,12627,272,6,0
3173,92.88,101.0,4.1,55,11780,296,6,0
503,75.41,97.76,5.33,89,1291,257,0,0
1946,77.74,102.03,5.09,56,3314,336,14,0
2619,69.44,98.65,4.35,81,2203,230,1,0
824,110.14,106.12,1.78,94,1546,170,11,0
1049,83.44,97.41,1.07,87,6931,149,5,0
1855,87.02,100.77,3.03,91,2158,69,4,0
2622,84.82,82.06,4.63,67,2214,278,13,0
1000,74.76,116.53,2.42,63,8105,234,6,1
767,100.32,99.01,2.07,73,6476,182,1,0
1234,92.26,96.33,1.03,96,12902,204,8,0
1310,78.7,104.87,1.73,56,5318,233,12,0
1136,78.87,89.24,2.79,61,5165,194,4,0
2365,96.42,105.46,5.73,94,4621,236,5,0
385,84.48,94.74,3.15,51,13799,349,4,0
2580,94.47,89.67,2.3,62,10960,149,12,0
2195,82.83,87.02,3.36,89,9121,94,2,0
2909,98.16,99.49,6.27,100,1645,146,0,1
966,101.5,90.8,4.03,73,4137,240,2,0
1611,106.44,94.82,1.57,54,3410,116,10,0
1396,65.69,100.26,4.03,68,5376,107,14,0
2297,92.85,104.03,5.35,87,11205,325,6,1
2551,92.78,85.36,4.11,89,7469,222,1,0
224,97.9,88.48,2.92,66,5120,44,13,1
1609,62.81,88.59,2.42,97,4512,113,9,0
731,65.97,103.97,4.74,59,11171,173,2,0
1849,70.56,96.79,3.54,83,11945,89,8,0
1190,102.03,100.35,4.13,62,11016,239,3,0
3046,75.64,92.33,2.82,85,7882,5,11,0
150,99.43,89.38,3.48,82,7062,292,2,0
1205,81.62,89.26,5.41,80,3018,156,0,0
1959,84.13,114.66,4.78,53,5238,229,14,1
451,76.71,95.95,5.01,79,12363,287,4,0
2827,68.19,88.04,2.57,74,5689,309,7,0
1925,91.13,92.8,6.06,97,14753,212,10,1
823,81.84,86.53,2.88,55,12540,320,7,1
2403,87.64,101.06,4.13,60,11287,298,6,1
2396,62.67,101.9,0.52,81,6169,122,13,0
1553,73.14,94.17,3.73,66,11808,154,3,0
1677,65.1,92.78,2.92,59,5010,167,2,1
1591,67.04,101.54,3.8,54,6705,63,7,0
2553,97.86,98.77,2.02,79,13316,163,4,0
3032,72.21,96.86,6.25,79,2610,144,6,0
985,93.68,97.13,3.07,89,2416,139,11,0
46,81.11,97.96,3.95,82,8095,130,1,0
1712,70.2,101.43,3.26,81,10530,8,1,1
1062,107.98,99.79,3.99,69,12166,115,3,0
1675,88.65,98.38,5.22,89,2996,120,4,0
2741,75.05,106.1,7.15,58,3950,229,5,0
2081,90.05,74.55,5.76,61,12202,176,3,1
2028,99.93,89.61,1.66,97,9217,337,1,0
513,73.96,93.91,4.38,72,6586,65,14,0
1520,101.91,104.29,1.89,83,5800,314,5,1
1214,107.18,98.24,5.82,53,4778,363,3,1
710,90.19,93.55,4.25,77,2718,28,10,0
2842,86.9,105.61,2.99,85,14150,11,13,1
611,89.76,105.79,3.75,90,4589,103,13,0
829,88.46,103.19,3.51,74,7152,317,4,0
1191,81.26,107.38,4.65,77,6491,105,14,0
1404,73.95,101.05,4.4,84,12415,71,0,0
1384,87.11,98.45,3.71,57,14912,278,1,0
2501,97.66,103.37,4.98,50,4895,299,12,0
2810,84.3,84.91,3.38,65,4556,301,2,1
1477,90.09,94.3,2.41,96,14290,16,12,1
548,94.57,88.34,2.44,96,2837,359,1,0
153,90.23,86.79,3.26,67,8281,66,4,0
2973,87.27,113.87,4.33,55,7604,326,3,0
535,102.2,113.12,5.9,87,8678,219,0,0
1288,71.17,99.95,3.17,57,13167,285,8,1
1125,87.79,101.74,2.82,90,5601,41,5,0
1034,82.55,88.65,4.09,60,6371,116,2,0
2362,97.67,97.01,2.6,94,5972,141,6,0
2077,106.52,84.65,2.85,83,4851,68,3,0
1995,94.84,112.12,4.01,87,1558,217,3,0
1514,76.31,91.45,4.31,94,12201,326,2,1
294,84.38,92.45,3.16,93,6051,206,9,0
2062,84.7,98.58,6.91,81,13524,315,6,1
17,99.67,73.6,3.72,57,12929,150,12,1
415,59.63,85.42,4.57,98,9299,60,14,0
3161,84.73,97.78,3.29,74,2134,24,11,0
1154,78.07,97.16,6.13,76,12709,6,5,1
150,96.6,92.48,3.37,57,6744,227,0,0
1105,69.4,99.29,5.76,54,13325,177,12,0
786,90.44,95.38,1.85,79,7354,278,0,0
2885,75.07,95.61,3.65,65,12762,233,10,0
2870,61.5,97.04,3.67,56,12744,140,0,0
219,75.12,84.02,2.51,64,9079,72,13,1
2148,75.33,92.38,1.44,71,3406,85,4,0
847,81.19,87.04,4.29,73,10779,80,6,0
3093,85.75,88.74,3.77,54,4642,207,0,0
2684,106.0,92.71,5.6,80,8532,41,3,0
1741,91.48,104.76,1.61,57,14427,160,6,1
103,107.97,98.91,4.6,62,5890,30,0,1
