date,station,hour,day_of_week,holiday,train_frequency,passenger_count,entry_count,exit_count,crowd_level
182,5,3,2,0,6,1480,1003,491,2
259,4,9,2,1,9,805,583,213,0
22,2,7,3,1,2,678,474,163,2
314,4,1,1,0,13,602,387,202,2
358,9,19,3,0,14,1195,911,267,0
324,9,1,4,0,3,366,231,127,1
17,8,17,5,0,13,1060,738,265,0
68,6,10,0,0,14,220,149,130,2
190,9,12,3,0,12,1081,614,306,2
229,6,16,0,0,11,473,207,161,1
115,2,20,5,0,11,1394,977,288,0
354,3,3,6,0,12,268,205,119,2
22,7,13,3,1,3,1215,850,697,2
194,3,18,0,0,6,1487,631,460,0
138,3,9,0,0,9,1079,697,289,2
346,6,22,5,0,12,1128,712,580,0
364,1,11,2,1,9,1443,761,662,0
224,4,6,2,0,3,1371,970,663,2
310,9,20,4,0,12,212,105,126,2
192,3,10,5,0,7,927,549,532,0
291,3,22,6,0,12,909,453,431,2
207,2,21,6,0,11,530,382,305,0
24,7,2,5,0,7,400,210,82,1
33,2,9,0,0,10,229,94,92,2
28,3,6,2,0,12,280,201,84,1
147,3,15,2,1,4,740,538,178,2
247,2,0,4,1,9,567,401,319,2
313,3,22,0,0,5,1213,601,328,2
93,9,9,4,0,13,967,547,218,0
223,7,17,1,0,4,1327,684,338,0
80,6,17,5,0,10,182,96,50,2
94,7,22,5,0,9,697,471,211,2
76,4,0,1,0,14,1495,640,613,0
234,7,13,5,0,12,1092,585,403,0
265,4,4,1,0,6,327,196,187,1
94,8,12,5,0,9,1411,682,314,0
186,5,2,6,1,4,268,172,59,2
63,0,10,2,0,6,1280,808,685,2
166,6,7,0,0,3,611,323,271,2
284,9,22,6,0,9,1204,832,618,2
139,8,20,1,0,5,102,52,61,1
287,1,7,2,0,4,538,282,163,2
15,7,23,3,0,12,1406,756,418,2
253,9,5,3,0,4,1031,617,519,1
206,5,0,5,0,6,214,168,49,1
155,9,16,3,0,14,171,86,53,1
29,3,4,3,0,10,564,440,253,1
298,8,6,6,0,11,1331,771,345,0
9,0,1,4,0,3,304,193,72,1
214,3,3,6,1,3,1078,483,268,0
17,4,10,5,0,6,863,632,455,2
334,6,4,0,0,2,892,486,344,1
282,3,7,4,0,10,653,409,160,2
221,1,21,6,1,8,653,308,294,0
13,4,7,1,0,4,1309,668,409,2
90,6,13,1,0,7,1423,612,353,2
255,6,11,5,0,7,711,330,155,2
227,3,22,5,0,9,359,153,155,2
340,4,8,6,0,7,1336,712,411,0
138,9,15,0,0,3,225,173,95,1
98,0,15,2,0,14,1038,671,408,2
334,7,15,0,0,10,808,544,263,2
205,4,13,4,0,14,158,73,91,1
251,0,6,1,0,7,1229,524,404,2
240,7,13,4,0,14,1152,714,341,2
65,4,0,4,0,3,1233,654,256,2
348,5,21,0,0,3,833,619,487,2
93,3,20,4,0,7,733,466,181,2
87,2,1,5,0,11,1219,793,558,0
259,3,5,2,0,8,619,423,364,1
96,6,9,0,0,4,180,100,67,1
293,2,21,1,0,6,775,419,157,2
61,5,10,0,0,4,490,228,180,2
25,1,10,6,0,7,1190,580,635,0
179,1,10,6,0,6,227,122,118,2
317,7,19,4,0,14,950,515,454,0
44,1,3,4,1,2,839,585,463,2
27,1,13,1,0,6,374,152,114,1
281,6,15,3,0,9,1216,497,628,2
8,6,12,3,0,5,968,582,529,1
311,6,19,5,0,6,781,567,170,0
23,8,22,4,0,6,183,106,39,1
32,2,5,6,0,9,1003,636,440,2
116,2,8,6,0,11,114,56,25,2
146,9,21,1,0,8,1252,998,669,0
239,5,8,3,0,8,777,545,264,2
106,9,4,3,0,14,157,122,46,1
315,0,4,2,0,4,1119,787,292,2
7,9,19,2,0,5,1149,549,331,2
106,5,14,3,0,11,172,116,102,1
156,4,16,4,0,6,1359,661,588,2
213,9,22,5,0,5,114,74,40,1
223,6,6,1,0,4,152,108,55,1
98,6,1,2,0,12,502,212,105,2
155,1,11,3,0,8,1338,577,423,2
23,9,16,4,0,14,767,500,447,2
197,6,3,3,0,11,929,498,444,2
225,2,22,3,0,7,629,300,222,1
33,5,14,0,0,12,1175,595,608,2
192,1,14,5,0,7,828,550,476,2
134,9,4,3,0,4,600,267,156,1
238,7,7,2,0,14,1126,847,276,0
161,7,6,2,0,13,1023,691,539,2
216,3,1,1,0,13,590,454,273,2
72,3,21,4,0,3,1115,650,589,2
150,1,0,5,1,8,767,540,371,0
238,6,14,2,1,6,986,429,328,2
224,8,2,2,0,13,812,444,358,2
354,9,0,6,0,10,1122,859,574,2
242,7,10,6,0,2,1218,940,246,2
306,8,17,0,0,7,1413,929,730,0
63,5,21,2,0,3,604,437,291,2
151,1,8,6,0,12,1129,898,669,0
43,3,4,3,0,9,445,283,249,1
353,2,18,5,0,9,317,145,65,2
60,5,11,6,0,7,1240,556,303,2
311,5,11,5,0,2,1075,490,428,2
82,1,19,0,0,9,1326,1038,463,0
301,2,22,2,1,2,585,294,204,2
282,9,13,4,0,14,187,105,81,1
207,2,15,6,0,4,243,192,96,1
248,0,6,5,0,3,871,452,348,2
123,8,1,6,0,5,837,382,310,2
238,1,19,2,0,7,1147,492,582,0
12,8,5,0,0,5,712,470,317,1
325,4,5,5,0,9,1236,605,547,2
9,9,14,4,0,12,292,139,174,1
217,1,6,2,0,5,1398,1057,450,2
236,2,16,0,0,11,199,113,46,1
100,0,7,4,0,3,443,314,243,1
184,8,19,4,0,10,638,256,305,2
364,1,3,2,0,3,1257,776,411,2
105,6,22,2,0,13,190,120,96,1
256,7,4,6,0,9,1055,509,304,2
86,6,14,4,0,12,778,389,286,2
260,5,7,3,0,14,1419,736,701,0
243,0,8,0,0,10,862,569,515,2
252,9,21,2,0,2,941,421,422,2
86,5,14,4,0,12,1307,567,743,2
339,1,0,5,0,2,1091,444,554,2
155,9,1,3,0,13,1271,669,439,2
80,9,16,5,0,8,1459,884,330,0
23,3,7,4,0,6,1010,786,349,2
230,5,11,1,0,9,155,87,66,1
203,7,16,2,0,12,1420,965,681,2
248,1,10,5,0,10,990,586,501,0
312,6,1,6,0,13,1408,875,348,0
185,7,8,5,1,10,1121,743,567,0
223,0,4,1,0,6,1079,492,600,2
299,0,4,0,0,2,522,228,111,1
335,5,14,1,0,3,1239,826,518,2
217,8,4,2,0,7,1112,474,229,2
351,4,4,3,0,12,1157,644,283,2
72,4,2,4,1,9,860,666,251,2
19,5,7,0,0,12,1284,887,317,0
219,5,20,4,0,12,633,277,284,2
207,2,19,6,0,13,642,473,270,0
133,8,17,2,0,5,1003,596,411,2
346,4,11,5,0,13,1364,594,451,0
128,4,21,4,0,8,357,219,177,2
319,9,23,6,0,14,420,310,211,2
77,0,14,2,1,10,989,701,271,0
282,6,8,4,0,13,1245,971,494,0
6,1,14,1,0,6,938,611,532,2
189,7,6,2,0,13,940,557,363,2
208,0,11,0,0,10,914,551,303,2
311,3,10,5,0,5,523,363,180,2
264,9,21,0,0,4,866,499,312,2
6,0,4,1,0,5,676,394,302,1
228,8,10,6,0,9,1179,862,700,0
324,0,3,4,0,6,776,457,265,1
183,9,21,3,0,13,845,354,276,0
345,7,10,4,0,8,1371,684,455,0
171,6,19,5,0,7,974,537,422,0
100,9,7,4,0,9,1002,656,258,2
5,7,0,0,0,7,347,219,126,1
238,9,2,2,0,4,120,85,62,1
135,4,15,4,0,7,1134,825,652,2
358,8,16,3,0,3,625,333,182,1
255,9,23,5,0,7,1263,520,542,2
67,7,2,6,0,11,314,167,152,2
198,8,22,4,0,10,1280,981,441,2
49,2,19,2,0,10,1288,576,663,0
154,5,18,2,0,14,418,252,209,2
290,8,10,5,0,6,1089,517,513,0
83,8,16,1,0,3,1466,987,480,2
67,5,6,6,0,12,1347,637,366,0
324,8,4,4,0,5,171,101,55,1
261,2,18,4,0,11,616,338,322,2
332,2,23,5,1,14,1448,1138,331,0
210,9,12,2,0,5,1491,839,782,2
150,1,2,5,1,7,203,99,69,2
37,4,13,4,0,2,570,390,167,1
223,2,23,1,0,2,419,310,130,1
131,8,18,0,0,4,292,228,101,2
37,2,11,4,0,14,702,559,406,2
49,0,21,2,0,12,219,161,52,2
60,0,22,6,0,14,905,536,360,0
22,3,20,3,0,6,365,192,155,2
57,9,1,3,0,3,319,161,118,1
193,6,4,6,0,3,441,265,180,1
340,0,0,6,0,12,150,97,42,2
87,2,0,5,0,14,156,110,70,2
46,8,4,6,0,4,547,360,173,1
1,6,14,3,0,9,1377,968,723,2
91,1,14,2,0,13,999,419,579,2
54,0,7,0,0,14,1347,583,330,0
93,8,7,4,0,10,1185,719,330,0
56,7,10,2,0,6,927,644,491,2
111,0,1,1,0,12,954,649,199,2
288,3,13,3,0,5,1343,878,582,2
256,9,5,6,0,11,1140,897,266,0
165,2,11,6,0,13,1398,837,448,0
47,1,7,0,0,13,1399,673,502,0
26,3,13,0,1,11,189,150,111,2
311,4,8,5,0,3,1358,765,741,0
188,8,3,1,0,7,109,74,61,1
127,7,7,3,0,5,389,157,225,1
45,4,1,5,0,4,905,448,533,2
339,5,4,5,0,10,190,119,56,1
193,1,9,6,0,13,565,301,173,0
35,0,5,2,0,12,944,715,258,2
51,1,10,4,0,6,153,97,83,1
301,9,18,2,0,7,354,249,172,2
275,1,1,4,0,13,1047,479,397,2
339,9,20,5,0,5,745,501,213,2
57,3,16,3,0,11,519,309,302,1
31,4,9,5,0,5,1208,669,636,0
73,0,18,5,0,7,502,266,220,2
16,7,20,4,1,11,694,321,302,0
363,5,3,1,1,5,939,421,456,2
13,3,0,1,1,4,419,226,156,2
112,6,6,2,0,13,1220,901,312,2
3,3,13,5,0,11,1494,1041,849,0
347,7,21,6,0,7,175,123,44,2
274,2,12,3,0,2,721,292,298,1
348,1,17,0,0,7,477,346,115,2
298,0,17,6,0,10,1411,882,282,0
165,4,13,6,0,8,1208,484,666,2
73,7,11,5,0,6,366,185,117,1
113,8,11,3,0,10,1310,1027,334,2
192,0,16,5,0,2,436,246,188,1
347,8,23,6,0,5,1221,635,250,2
181,8,20,1,1,12,586,236,298,0
157,7,15,5,0,3,120,69,26,1
24,3,5,5,0,14,1368,763,737,0
259,5,13,2,0,13,1268,998,717,2
272,1,15,1,0,2,1315,931,481,2
176,9,10,3,0,11,1296,742,529,0
33,0,1,0,0,6,741,364,327,1
346,3,20,5,0,3,534,326,265,2
200,2,0,6,0,3,135,90,61,1
330,9,15,3,1,9,1287,1027,374,0
230,1,17,1,0,11,328,222,126,2
171,5,11,5,0,6,1479,752,436,2
210,6,18,2,0,5,104,83,52,1
307,3,11,1,0,4,337,260,171,1
97,5,12,1,0,9,1176,586,299,2
182,8,20,2,0,11,419,176,204,2
97,2,12,1,1,2,823,533,402,2
196,8,13,2,0,3,1157,768,609,1
167,8,2,1,0,3,837,451,440,1
333,3,1,6,0,6,701,504,140,2
141,4,6,3,0,14,739,355,162,2
87,6,7,5,1,6,188,88,100,2
298,0,13,6,0,13,499,314,221,2
85,2,11,3,0,4,1404,679,719,2
134,2,0,3,1,7,1351,719,521,0
196,7,4,2,0,11,961,532,324,2
183,5,16,3,0,4,246,168,138,1
328,6,16,1,0,7,1084,555,435,2
191,8,21,4,0,8,767,308,453,2
213,3,8,5,0,11,1090,726,267,0
146,9,4,1,0,4,676,396,302,1
315,7,13,2,0,14,1453,1101,799,0
295,1,6,3,0,14,688,329,191,2
282,3,14,4,0,11,209,86,93,1
10,8,5,5,0,7,490,251,285,2
176,0,9,3,0,8,461,366,215,2
120,7,13,3,0,12,1186,495,507,2
29,5,4,3,0,14,1311,914,625,0
182,3,7,2,1,3,322,170,158,2
138,5,21,0,0,7,1286,782,339,0
135,2,22,4,0,3,796,366,249,1
160,6,15,1,0,14,451,184,123,2
167,7,12,1,1,12,812,533,321,0
175,6,11,2,0,5,198,99,84,1
39,9,0,6,0,14,582,428,267,2
189,4,19,2,0,14,1000,521,461,0
8,9,3,3,0,13,112,52,61,1
35,0,4,2,1,11,400,244,130,2
297,6,23,5,0,14,1098,444,467,0
279,6,0,1,0,8,530,367,204,1
296,7,15,4,0,3,1352,878,546,2
133,9,17,2,0,8,411,165,204,2
94,0,18,5,0,8,699,438,158,0
156,0,1,4,0,13,142,56,68,1
1,8,21,3,0,13,873,544,198,0
90,8,3,1,0,7,406,174,204,1
311,9,12,5,1,12,219,147,121,2
199,5,23,5,0,5,1115,881,225,2
123,6,13,6,0,7,927,614,292,2
145,0,10,0,0,13,1202,852,649,0
195,0,8,1,0,5,1494,1014,863,0
320,0,7,0,0,13,971,611,259,0
75,9,23,0,0,14,1159,834,337,2
49,9,20,2,0,12,987,414,397,0
227,0,15,5,0,6,1089,810,347,2
22,1,14,3,0,14,1472,601,306,0
187,9,1,0,0,3,423,214,179,1
339,8,6,5,0,6,1185,945,579,2
225,4,12,3,0,11,1133,815,524,2
290,4,1,5,0,13,908,485,214,2
224,4,3,2,0,7,116,78,47,1
100,7,18,4,0,10,777,487,445,2
111,5,20,1,0,2,752,431,419,2
89,0,19,0,0,11,669,330,322,2
208,8,23,0,0,7,559,414,311,1
244,4,12,1,0,3,147,91,43,1
181,7,3,1,0,7,997,537,250,2
213,8,13,5,0,11,1375,607,718,0
2,4,4,4,0,12,610,387,342,2
321,9,7,1,0,11,825,403,421,2
213,5,1,5,0,13,1046,678,515,0
296,0,21,4,0,9,654,363,210,2
237,0,11,1,0,5,1351,660,744,2
283,3,17,5,0,4,1453,1131,673,0
213,1,12,5,0,9,357,267,196,2
75,0,21,0,0,10,1101,878,436,0
157,0,19,5,0,6,449,204,168,2
277,9,13,6,0,9,477,358,214,2
129,2,21,5,1,9,983,586,575,0
27,6,13,1,0,9,1484,862,790,2
10,6,17,5,0,6,198,151,58,2
341,4,5,0,0,5,1007,761,260,2
213,9,1,5,0,6,1423,1111,576,2
146,5,1,1,0,5,1202,641,685,2
137,5,17,6,0,4,1235,540,575,0
201,6,19,0,0,6,808,576,420,2
53,4,20,6,0,4,1099,827,555,0
196,3,23,2,0,9,328,167,118,1
160,6,2,1,0,10,1143,902,420,2
32,3,11,6,1,7,1228,828,254,0
20,3,21,1,0,10,1027,776,503,0
250,8,8,0,0,10,1003,568,504,0
161,5,22,2,0,8,386,302,216,1
242,2,3,6,0,2,492,205,171,1
253,3,1,3,0,4,1009,646,586,1
27,7,19,1,0,12,1455,685,495,0
172,6,22,6,0,3,1481,653,882,2
316,5,19,3,0,5,608,430,364,2
119,4,19,2,0,14,755,344,306,0
359,8,6,4,0,12,484,289,174,2
179,1,7,6,0,8,1109,777,277,0
228,5,18,6,1,14,1344,657,416,0
87,3,19,5,0,10,414,167,179,0
223,6,4,1,0,8,1416,852,837,2
201,4,15,0,1,14,1176,880,607,0
19,0,9,0,0,14,1119,648,617,0
318,1,13,5,0,12,140,96,31,2
222,9,20,0,0,6,1126,670,544,0
300,6,6,1,0,5,701,558,306,1
81,2,22,6,0,3,535,280,271,1
307,8,16,1,0,8,1107,689,658,2
186,4,18,6,0,5,1062,550,285,0
107,5,8,4,0,13,936,502,269,0
16,4,9,4,0,6,1079,797,234,2
217,3,10,2,1,12,643,315,333,0
265,0,13,1,0,9,1194,946,601,2
348,4,6,0,0,12,483,269,116,2
242,7,15,6,0,3,1420,736,748,2
38,1,19,5,0,12,809,594,200,0
235,3,22,6,1,14,1268,817,442,0
293,1,14,1,0,6,1242,864,733,2
343,3,10,2,0,6,1246,864,704,2
59,8,1,5,0,14,158,91,47,2
4,5,1,6,0,7,638,427,307,2
216,7,16,1,0,12,158,109,90,1
351,8,20,3,0,3,903,607,250,2
77,9,19,2,0,14,477,274,250,2
141,3,15,3,0,13,1253,788,539,2
220,3,7,5,0,12,1351,751,292,0
177,1,9,4,0,7,186,138,38,1
279,7,20,1,0,6,155,78,92,2
114,3,11,4,0,4,1286,750,535,2
47,5,22,0,0,8,1490,1124,313,2
96,0,16,0,0,6,190,127,91,1
225,0,20,3,0,6,1172,752,498,0
108,8,13,5,0,7,1053,505,541,2
296,5,21,4,0,9,287,177,104,2
221,4,7,6,0,7,602,343,316,2
288,0,7,3,0,11,1155,629,277,0
35,5,0,2,0,13,1153,603,350,2
283,9,8,5,1,9,1050,638,511,0
310,4,17,4,0,8,1061,486,364,0
335,3,8,1,1,13,1073,566,291,0
60,2,22,6,0,2,1077,635,646,2
218,5,5,3,1,10,1239,989,697,0
275,4,15,4,0,8,391,163,167,1
215,0,5,0,0,2,1410,648,792,2
146,8,23,1,0,12,1415,1004,442,2
255,8,20,5,0,5,179,92,93,2
127,0,0,3,0,5,1079,834,522,2
121,7,19,4,1,10,1272,681,384,0
153,5,19,1,0,10,963,588,520,0
183,7,23,3,0,7,861,348,316,2
314,2,22,1,0,12,160,106,66,1
134,0,8,3,0,14,942,643,366,0
331,8,4,4,0,8,1131,579,398,2
90,1,17,1,0,3,355,249,168,1
319,3,10,6,0,14,823,368,214,0
243,7,8,0,1,2,1127,817,428,0
262,6,5,5,0,8,1257,898,718,2
87,8,13,5,0,5,827,400,393,2
6,4,0,1,0,12,283,169,120,1
24,8,11,5,0,11,824,503,236,2
13,2,11,1,0,11,466,243,252,1
99,4,13,3,0,6,1078,570,498,2
223,2,9,1,0,13,1318,593,619,0
328,3,6,1,0,5,179,110,105,1
112,6,20,2,1,14,826,631,214,0
14,8,0,2,0,9,862,600,224,2
234,0,13,5,1,4,600,359,291,2
295,1,12,3,0,8,587,365,259,1
251,5,3,1,1,7,1054,571,414,2
80,5,2,5,0,5,902,496,315,2
262,6,5,5,0,3,496,339,108,1
174,8,11,1,0,12,383,166,218,1
200,3,19,6,0,6,835,487,209,0
54,5,11,0,0,12,943,648,281,2
126,8,15,2,0,4,932,561,361,1
156,9,13,4,0,7,758,553,440,1
57,5,5,3,0,3,864,557,456,1
29,6,8,3,0,5,634,296,128,2
164,9,13,5,1,8,714,434,189,0
250,3,16,0,0,12,924,738,551,2
200,1,10,6,0,13,871,572,466,0
330,2,17,3,0,2,939,732,260,2
259,1,4,2,1,10,920,735,202,0
96,0,4,0,0,5,476,358,103,1
132,4,2,1,0,11,888,373,367,2
46,1,20,6,0,6,115,56,28,2
205,8,8,4,0,13,140,79,41,2
242,3,22,6,0,9,1361,1031,583,0
169,6,5,3,1,8,1152,644,241,0
72,8,13,4,0,12,106,78,52,1
65,0,18,4,0,13,301,218,77,2
97,9,17,1,0,6,216,138,96,2
325,2,6,5,0,5,1260,602,289,2
214,3,11,6,0,3,1281,641,404,2
176,6,1,3,0,5,590,384,130,1
75,1,0,0,0,11,867,678,282,2
15,2,23,3,0,14,273,187,89,1
247,8,10,4,0,12,180,81,93,2
224,8,14,2,1,11,307,143,157,2
285,8,21,0,0,7,210,131,122,2
47,1,23,0,0,6,1257,651,532,2
48,2,13,1,1,14,1085,446,599,0
70,0,2,2,0,9,792,431,339,2
326,2,4,6,0,6,962,710,250,2
29,5,4,3,0,7,846,631,483,2
103,8,1,0,0,7,472,260,244,1
68,4,14,0,0,4,1071,839,340,1
262,9,21,5,0,6,1284,805,588,0
30,2,18,4,0,5,319,181,100,2
138,9,3,0,0,4,440,269,177,1
74,4,2,6,0,12,1209,522,516,0
268,6,18,4,0,4,1130,568,555,2
265,3,5,1,0,4,1317,662,306,2
166,0,19,0,0,13,1024,702,267,0
190,9,7,3,1,7,770,357,415,0
143,4,5,5,0,4,1368,1042,796,2
158,8,6,6,0,7,354,241,181,1
130,2,21,6,0,4,1097,722,325,0
3,7,1,5,0,4,1027,670,501,2
357,0,2,2,0,8,1049,582,610,2
102,4,23,6,0,13,845,441,236,2
321,1,17,1,0,14,607,301,153,0
311,4,15,5,0,9,1430,1110,694,0
359,6,8,4,0,11,1183,722,501,0
45,3,11,5,0,4,783,444,402,2
168,8,18,2,0,8,1479,906,357,0
121,6,21,4,0,3,1080,655,600,2
31,9,13,5,0,8,1147,728,636,2
274,0,18,3,0,12,660,393,279,0
120,6,22,3,0,11,855,573,333,2
111,8,21,1,0,8,182,95,74,2
