train_id,train_name,source,destination,distance_km,scheduled_departure,weather,temperature,rainfall,station_delay,previous_delay,delay_minutes
TRN1034,Jan Shatabdi,Kurnool,Hyderabad,660,21:00,Rain,20,19.82,7.31,16.87,30.83
TRN1035,Deccan Express,Secunderabad,Nizamabad,299,04:00,Clear,31,78.36,7.8,12.2,13.74
TRN1036,Garib Rath,Kurnool,Hyderabad,601,21:00,Cloudy,19,20.87,0.0,30.31,26.47
TRN1037,Duronto Express,Kurnool,Hyderabad,337,16:00,Heavy Rain,37,46.04,11.34,0.0,38.25
TRN1038,Garib Rath,Guntur,Tirupati,656,00:00,Cloudy,28,15.66,0.0,4.59,11.23
TRN1039,Superfast Express,Secunderabad,Nizamabad,681,01:00,Clear,24,9.45,8.81,18.17,24.33
TRN1040,Garib Rath,Secunderabad,Nizamabad,473,04:00,Rain,20,79.24,7.33,0.0,14.17
TRN1041,Jan Shatabdi,Kurnool,Hyderabad,269,04:00,Clear,40,60.07,3.37,9.83,10.04
TRN1042,Deccan Express,Nellore,Chennai,476,18:00,Clear,29,76.68,8.72,5.12,25.47
TRN1043,Duronto Express,Hyderabad,Warangal,585,14:00,Clear,22,23.46,9.82,0.0,18.75
TRN1044,Deccan Express,Kurnool,Hyderabad,188,20:00,Cloudy,24,79.67,7.67,20.7,27.44
TRN1045,Deccan Express,Vijayawada,Visakhapatnam,571,16:00,Clear,24,34.09,2.98,0.0,2.36
TRN1046,Superfast Express,Secunderabad,Nizamabad,421,19:00,Clear,24,78.88,5.32,3.35,22.31
TRN1047,Shatabdi Express,Secunderabad,Nizamabad,261,06:00,Clear,36,8.9,3.79,7.97,6.86
TRN1048,Superfast Express,Secunderabad,Nizamabad,440,06:00,Rain,30,19.0,4.81,4.16,8.03
TRN1049,Deccan Express,Hyderabad,Vijayawada,196,05:00,Rain,30,77.59,5.9,8.09,18.48
TRN1050,Duronto Express,Hyderabad,Vijayawada,481,14:00,Cloudy,31,23.56,1.91,18.06,13.13
TRN1051,Krishna Express,Nellore,Chennai,487,20:00,Clear,21,37.1,9.13,0.0,12.35
TRN1052,Duronto Express,Secunderabad,Nizamabad,637,02:00,Rain,35,33.33,6.45,13.46,25.81
TRN1053,Krishna Express,Nellore,Chennai,321,12:00,Clear,41,30.12,6.18,0.32,10.88
TRN1054,Vande Bharat,Secunderabad,Nizamabad,689,08:00,Clear,18,1.09,4.65,9.53,21.42
TRN1055,Garib Rath,Kurnool,Hyderabad,516,22:00,Rain,22,60.57,0.0,3.54,10.95
TRN1056,Duronto Express,Nellore,Chennai,528,16:00,Rain,19,28.65,1.88,10.33,15.3
TRN1057,Rajdhani Express,Nellore,Chennai,197,02:00,Cloudy,29,65.31,6.65,17.39,7.15
TRN1058,Garib Rath,Secunderabad,Nizamabad,657,10:00,Clear,23,49.38,2.38,8.38,21.26
TRN1059,Rajdhani Express,Nellore,Chennai,414,18:00,Heavy Rain,37,43.8,8.46,7.27,37.39
TRN1060,Vande Bharat,Secunderabad,Nizamabad,217,23:00,Rain,34,20.66,0.0,10.69,13.31
TRN1061,Garib Rath,Vijayawada,Visakhapatnam,284,10:00,Cloudy,28,6.07,0.59,11.41,20.99
TRN1062,Shatabdi Express,Hyderabad,Warangal,172,17:00,Cloudy,36,3.27,3.84,4.29,12.1
TRN1063,Intercity Express,Secunderabad,Nizamabad,592,04:00,Cloudy,31,29.14,12.86,8.25,21.28
TRN1064,Vande Bharat,Vijayawada,Visakhapatnam,336,07:00,Rain,37,16.75,5.86,6.07,17.44
TRN1065,Krishna Express,Guntur,Tirupati,157,23:00,Rain,31,11.82,6.6,2.51,18.06
TRN1066,Rajdhani Express,Vijayawada,Visakhapatnam,94,22:00,Clear,27,45.12,7.6,0.0,9.37
TRN1067,Duronto Express,Hyderabad,Vijayawada,659,09:00,Rain,30,38.37,11.25,11.89,45.93
TRN1068,Shatabdi Express,Vijayawada,Visakhapatnam,504,04:00,Clear,19,19.55,10.56,0.0,15.52
TRN1069,Deccan Express,Hyderabad,Vijayawada,516,21:00,Clear,23,19.68,3.47,5.11,13.36
TRN1070,Jan Shatabdi,Hyderabad,Vijayawada,322,07:00,Cloudy,41,8.96,2.82,10.73,19.99
TRN1071,Duronto Express,Kurnool,Hyderabad,197,16:00,Cloudy,23,53.49,5.4,13.26,7.99
TRN1072,Garib Rath,Nellore,Chennai,489,21:00,Rain,37,40.61,7.17,4.79,25.75
TRN1073,Krishna Express,Nellore,Chennai,399,05:00,Cloudy,28,74.56,8.53,0.0,11.53
TRN1074,Garib Rath,Kurnool,Hyderabad,251,01:00,Clear,19,7.03,0.0,7.5,1.41
TRN1075,Intercity Express,Kurnool,Hyderabad,498,16:00,Heavy Rain,29,32.68,2.97,0.0,23.68
TRN1076,Superfast Express,Hyderabad,Warangal,308,13:00,Rain,20,13.14,6.41,11.8,25.35
TRN1077,Krishna Express,Nellore,Chennai,211,12:00,Cloudy,35,65.33,0.0,0.94,0.0
TRN1078,Jan Shatabdi,Kurnool,Hyderabad,222,00:00,Clear,18,31.32,3.59,2.77,7.14
TRN1079,Superfast Express,Hyderabad,Warangal,118,18:00,Clear,20,50.22,1.5,5.2,12.8
TRN1080,Duronto Express,Nellore,Chennai,310,03:00,Fog,18,56.56,9.99,4.52,26.45
TRN1081,Duronto Express,Nellore,Chennai,601,04:00,Heavy Rain,18,8.23,0.0,12.73,35.13
TRN1082,Superfast Express,Secunderabad,Nizamabad,236,14:00,Clear,30,57.6,1.27,17.7,14.74
TRN1083,Duronto Express,Vijayawada,Visakhapatnam,362,04:00,Rain,27,27.4,3.37,0.0,17.25
TRN1084,Krishna Express,Secunderabad,Nizamabad,695,17:00,Cloudy,32,58.09,0.0,1.87,16.52
TRN1085,Duronto Express,Secunderabad,Nizamabad,206,09:00,Rain,26,33.93,5.74,8.7,25.91
TRN1086,Garib Rath,Secunderabad,Nizamabad,425,13:00,Clear,40,73.67,8.12,8.39,20.11
TRN1087,Superfast Express,Kurnool,Hyderabad,510,08:00,Rain,27,64.23,8.41,0.0,27.59
TRN1088,Rajdhani Express,Hyderabad,Warangal,497,16:00,Cloudy,29,73.02,7.51,11.3,12.88
TRN1089,Duronto Express,Nellore,Chennai,580,23:00,Clear,28,50.58,3.92,0.25,20.12
TRN1090,Jan Shatabdi,Hyderabad,Warangal,397,16:00,Clear,33,45.19,5.24,17.72,5.66
TRN1091,Vande Bharat,Vijayawada,Visakhapatnam,301,05:00,Rain,21,14.55,0.0,2.56,6.59
TRN1092,Jan Shatabdi,Kurnool,Hyderabad,555,17:00,Heavy Rain,25,2.17,12.01,3.07,36.87
TRN1093,Superfast Express,Nellore,Chennai,318,04:00,Clear,18,44.54,8.45,12.36,16.63
TRN1094,Duronto Express,Guntur,Tirupati,244,21:00,Clear,40,71.71,5.25,10.28,12.79
TRN1095,Rajdhani Express,Vijayawada,Visakhapatnam,602,09:00,Rain,20,47.22,8.03,0.0,34.03
TRN1096,Rajdhani Express,Secunderabad,Nizamabad,579,21:00,Rain,34,69.48,0.0,14.8,24.59
TRN1097,Vande Bharat,Vijayawada,Visakhapatnam,194,16:00,Clear,25,55.91,0.0,4.71,0.0
TRN1098,Krishna Express,Vijayawada,Visakhapatnam,108,12:00,Cloudy,22,1.47,12.42,0.0,17.7
TRN1099,Vande Bharat,Secunderabad,Nizamabad,232,05:00,Rain,40,8.53,3.3,3.48,17.66
TRN1100,Rajdhani Express,Guntur,Tirupati,534,09:00,Heavy Rain,38,30.65,1.33,3.63,31.23
TRN1101,Intercity Express,Hyderabad,Warangal,371,18:00,Clear,38,66.97,8.3,7.13,23.85
TRN1102,Intercity Express,Vijayawada,Visakhapatnam,134,14:00,Fog,39,58.61,11.0,12.25,21.17
TRN1103,Vande Bharat,Nellore,Chennai,586,12:00,Clear,26,61.67,4.86,20.4,16.37
TRN1104,Jan Shatabdi,Hyderabad,Warangal,210,17:00,Rain,29,77.42,12.25,14.9,30.93
TRN1105,Vande Bharat,Secunderabad,Nizamabad,96,09:00,Cloudy,34,14.81,9.26,8.84,27.02
TRN1106,Jan Shatabdi,Secunderabad,Nizamabad,453,15:00,Rain,35,39.15,7.47,11.01,24.24
TRN1107,Jan Shatabdi,Vijayawada,Visakhapatnam,165,06:00,Clear,38,58.48,4.23,6.92,14.08
TRN1108,Duronto Express,Kurnool,Hyderabad,481,09:00,Cloudy,31,47.7,3.56,4.96,19.12
TRN1109,Rajdhani Express,Hyderabad,Warangal,250,07:00,Clear,40,5.23,6.65,0.0,14.55
TRN1110,Rajdhani Express,Hyderabad,Vijayawada,95,12:00,Cloudy,19,1.95,9.17,8.58,19.82
TRN1111,Shatabdi Express,Hyderabad,Warangal,118,13:00,Clear,34,32.15,14.2,5.46,15.78
TRN1112,Jan Shatabdi,Guntur,Tirupati,468,00:00,Clear,20,37.38,10.81,13.5,19.09
TRN1113,Rajdhani Express,Nellore,Chennai,372,15:00,Clear,31,3.61,4.02,1.82,5.87
TRN1114,Intercity Express,Kurnool,Hyderabad,519,13:00,Cloudy,30,79.13,8.21,7.32,18.54
TRN1115,Superfast Express,Guntur,Tirupati,654,21:00,Cloudy,30,9.63,4.49,4.49,22.7
TRN1116,Intercity Express,Kurnool,Hyderabad,600,02:00,Cloudy,34,13.91,7.03,17.94,19.93
TRN1117,Vande Bharat,Hyderabad,Warangal,239,02:00,Clear,41,59.83,4.47,15.88,7.23
TRN1118,Deccan Express,Hyderabad,Warangal,411,09:00,Rain,25,74.53,2.14,1.66,25.81
TRN1119,Intercity Express,Hyderabad,Warangal,255,17:00,Clear,33,54.66,0.0,1.91,14.14
TRN1120,Superfast Express,Vijayawada,Visakhapatnam,119,12:00,Clear,23,41.7,6.37,5.35,11.89
TRN1121,Deccan Express,Secunderabad,Nizamabad,442,12:00,Cloudy,27,8.47,1.29,12.16,16.73
TRN1122,Krishna Express,Vijayawada,Visakhapatnam,442,20:00,Rain,35,65.44,4.62,8.2,30.44
TRN1123,Jan Shatabdi,Vijayawada,Visakhapatnam,303,12:00,Cloudy,34,44.79,3.87,1.83,8.06
TRN1124,Jan Shatabdi,Vijayawada,Visakhapatnam,312,01:00,Clear,32,74.56,2.32,4.87,8.16
TRN1125,Vande Bharat,Guntur,Tirupati,480,09:00,Cloudy,39,49.67,2.76,10.64,28.08
TRN1126,Krishna Express,Kurnool,Hyderabad,617,01:00,Clear,21,34.09,4.74,0.0,10.2
TRN1127,Jan Shatabdi,Secunderabad,Nizamabad,236,10:00,Clear,19,61.83,3.06,5.52,8.24
TRN1128,Krishna Express,Guntur,Tirupati,606,01:00,Clear,34,52.13,2.73,14.65,13.28
TRN1129,Superfast Express,Guntur,Tirupati,509,16:00,Clear,25,61.67,6.84,12.25,13.05
TRN1130,Garib Rath,Guntur,Tirupati,457,02:00,Clear,32,38.52,6.29,3.27,19.37
TRN1131,Intercity Express,Hyderabad,Vijayawada,580,20:00,Cloudy,25,24.83,3.89,7.82,20.13
TRN1132,Intercity Express,Hyderabad,Warangal,380,00:00,Fog,26,3.17,2.25,1.23,16.35
TRN1133,Vande Bharat,Guntur,Tirupati,125,14:00,Cloudy,39,16.83,9.73,3.38,18.43
TRN1134,Vande Bharat,Secunderabad,Nizamabad,195,21:00,Clear,23,45.4,5.37,14.92,21.78
TRN1135,Rajdhani Express,Vijayawada,Visakhapatnam,507,16:00,Fog,20,71.7,11.81,17.68,27.81
TRN1136,Superfast Express,Vijayawada,Visakhapatnam,397,19:00,Clear,24,52.87,8.44,23.09,32.34
TRN1137,Intercity Express,Vijayawada,Visakhapatnam,594,08:00,Clear,31,6.53,0.87,4.29,19.01
TRN1138,Shatabdi Express,Guntur,Tirupati,673,05:00,Rain,39,26.59,9.52,4.57,37.45
TRN1139,Krishna Express,Hyderabad,Warangal,114,21:00,Clear,18,67.24,9.53,6.08,24.63
TRN1140,Duronto Express,Guntur,Tirupati,231,17:00,Heavy Rain,26,35.09,8.03,7.26,41.37
TRN1141,Rajdhani Express,Kurnool,Hyderabad,497,03:00,Clear,27,79.37,1.45,0.0,3.73
TRN1142,Garib Rath,Kurnool,Hyderabad,599,03:00,Heavy Rain,40,50.6,0.0,9.61,15.54
TRN1143,Garib Rath,Secunderabad,Nizamabad,632,21:00,Heavy Rain,32,47.43,12.25,14.19,46.32
TRN1144,Deccan Express,Hyderabad,Vijayawada,107,01:00,Heavy Rain,22,26.02,2.15,4.73,21.49
TRN1145,Jan Shatabdi,Kurnool,Hyderabad,366,10:00,Heavy Rain,39,13.58,0.0,9.78,29.53
TRN1146,Duronto Express,Hyderabad,Warangal,592,21:00,Clear,28,58.91,9.93,5.75,32.46
TRN1147,Vande Bharat,Guntur,Tirupati,235,14:00,Heavy Rain,29,43.19,3.71,4.84,23.6
TRN1148,Shatabdi Express,Nellore,Chennai,564,20:00,Clear,18,40.58,3.09,14.41,21.88
TRN1149,Superfast Express,Kurnool,Hyderabad,506,17:00,Clear,23,11.17,1.25,12.51,18.42
TRN1150,Intercity Express,Secunderabad,Nizamabad,574,21:00,Clear,18,67.05,2.4,9.05,19.22
TRN1151,Rajdhani Express,Vijayawada,Visakhapatnam,224,07:00,Heavy Rain,34,2.43,5.79,11.14,31.18
TRN1152,Garib Rath,Secunderabad,Nizamabad,440,01:00,Fog,23,25.45,7.67,5.66,25.16
TRN1153,Deccan Express,Hyderabad,Warangal,403,01:00,Clear,31,74.05,8.61,7.03,13.99
TRN1154,Vande Bharat,Nellore,Chennai,534,20:00,Clear,29,48.79,8.01,0.0,23.64
TRN1155,Deccan Express,Hyderabad,Vijayawada,384,16:00,Clear,23,5.86,11.57,15.07,18.68
TRN1156,Shatabdi Express,Secunderabad,Nizamabad,407,15:00,Rain,38,65.1,14.01,0.0,25.76
TRN1157,Duronto Express,Kurnool,Hyderabad,122,15:00,Cloudy,31,57.45,8.04,9.97,15.66
TRN1158,Duronto Express,Secunderabad,Nizamabad,220,21:00,Clear,31,38.87,4.75,1.91,9.77
TRN1159,Shatabdi Express,Vijayawada,Visakhapatnam,499,17:00,Clear,30,33.08,4.46,6.89,14.33
TRN1160,Jan Shatabdi,Kurnool,Hyderabad,391,16:00,Cloudy,27,73.42,7.2,2.24,13.41
TRN1161,Intercity Express,Hyderabad,Vijayawada,251,23:00,Cloudy,32,76.11,9.82,10.69,17.47
TRN1162,Deccan Express,Kurnool,Hyderabad,89,23:00,Clear,27,72.0,6.6,0.0,4.72
TRN1163,Garib Rath,Guntur,Tirupati,129,23:00,Rain,24,53.4,5.96,2.53,24.15
TRN1164,Vande Bharat,Hyderabad,Warangal,187,01:00,Cloudy,38,7.66,0.05,8.31,6.65
TRN1165,Jan Shatabdi,Hyderabad,Warangal,669,12:00,Cloudy,19,21.96,11.69,14.46,18.69
TRN1166,Deccan Express,Hyderabad,Vijayawada,538,06:00,Clear,31,8.33,0.0,11.98,16.69
TRN1167,Jan Shatabdi,Secunderabad,Nizamabad,115,07:00,Cloudy,21,15.35,0.6,3.02,10.61
TRN1168,Vande Bharat,Guntur,Tirupati,596,11:00,Clear,38,21.69,4.21,19.83,21.58
TRN1169,Krishna Express,Hyderabad,Warangal,421,05:00,Clear,29,52.95,11.69,10.93,17.45
TRN1170,Krishna Express,Guntur,Tirupati,532,12:00,Cloudy,32,16.07,4.78,1.6,13.06
TRN1171,Deccan Express,Kurnool,Hyderabad,91,16:00,Clear,25,63.64,0.63,5.79,8.71
TRN1172,Garib Rath,Guntur,Tirupati,485,17:00,Rain,18,48.68,5.57,0.0,23.52
TRN1173,Duronto Express,Hyderabad,Vijayawada,193,12:00,Clear,38,27.71,5.24,0.0,4.97
TRN1174,Krishna Express,Guntur,Tirupati,545,22:00,Clear,39,39.76,8.25,8.57,16.74
TRN1175,Shatabdi Express,Nellore,Chennai,295,09:00,Heavy Rain,23,11.3,7.31,4.34,33.26
TRN1176,Duronto Express,Vijayawada,Visakhapatnam,345,01:00,Clear,39,25.1,2.82,0.84,7.82
TRN1177,Intercity Express,Nellore,Chennai,460,19:00,Cloudy,26,66.02,1.8,10.46,22.39
TRN1178,Duronto Express,Secunderabad,Nizamabad,91,12:00,Fog,37,35.16,0.0,9.98,11.73
TRN1179,Rajdhani Express,Guntur,Tirupati,546,18:00,Cloudy,19,36.78,5.59,5.64,18.86
TRN1180,Vande Bharat,Guntur,Tirupati,694,07:00,Rain,24,17.66,3.79,11.43,26.19
TRN1181,Intercity Express,Kurnool,Hyderabad,142,04:00,Heavy Rain,20,29.42,9.83,5.78,32.08
TRN1182,Jan Shatabdi,Vijayawada,Visakhapatnam,653,20:00,Clear,32,46.57,8.05,1.05,23.31
TRN1183,Garib Rath,Hyderabad,Vijayawada,92,20:00,Rain,30,78.07,1.02,7.78,10.22
TRN1184,Duronto Express,Kurnool,Hyderabad,589,03:00,Heavy Rain,33,58.99,13.24,0.0,32.35
TRN1185,Duronto Express,Secunderabad,Nizamabad,501,09:00,Rain,30,10.65,6.17,2.89,26.54
TRN1186,Rajdhani Express,Vijayawada,Visakhapatnam,311,20:00,Rain,40,52.75,3.48,9.94,26.76
TRN1187,Vande Bharat,Guntur,Tirupati,252,18:00,Clear,29,40.98,4.08,8.63,17.0
TRN1188,Shatabdi Express,Hyderabad,Warangal,96,04:00,Cloudy,25,28.26,3.18,1.13,1.28
TRN1189,Shatabdi Express,Kurnool,Hyderabad,578,18:00,Clear,22,43.97,1.81,6.99,20.18
TRN1190,Superfast Express,Hyderabad,Vijayawada,408,01:00,Cloudy,20,9.71,5.14,17.3,20.36
TRN1191,Deccan Express,Hyderabad,Vijayawada,457,22:00,Clear,35,25.78,4.71,0.53,9.34
TRN1192,Rajdhani Express,Hyderabad,Warangal,601,14:00,Clear,35,17.97,0.94,0.69,0.0
TRN1193,Krishna Express,Hyderabad,Vijayawada,493,19:00,Clear,36,70.95,0.0,14.39,17.9
TRN1194,Vande Bharat,Guntur,Tirupati,312,14:00,Clear,30,17.69,6.06,0.0,10.12
TRN1195,Intercity Express,Nellore,Chennai,314,21:00,Cloudy,30,13.19,6.6,3.44,17.0
TRN1196,Shatabdi Express,Kurnool,Hyderabad,167,11:00,Rain,28,60.65,7.35,12.62,26.8
TRN1197,Intercity Express,Hyderabad,Warangal,102,06:00,Cloudy,22,12.81,4.0,7.86,13.48
TRN1198,Vande Bharat,Guntur,Tirupati,183,02:00,Clear,27,52.6,1.29,15.7,5.97
TRN1199,Jan Shatabdi,Hyderabad,Warangal,145,08:00,Clear,26,44.34,0.0,0.26,7.74
TRN1200,Superfast Express,Hyderabad,Warangal,180,03:00,Clear,21,57.77,1.72,9.57,11.08
TRN1201,Garib Rath,Nellore,Chennai,548,21:00,Cloudy,38,2.33,3.42,5.12,13.17
TRN1202,Jan Shatabdi,Guntur,Tirupati,300,13:00,Rain,22,46.4,0.0,21.03,25.96
TRN1203,Superfast Express,Vijayawada,Visakhapatnam,673,18:00,Clear,36,39.86,9.46,3.46,27.37
TRN1204,Shatabdi Express,Secunderabad,Nizamabad,429,22:00,Rain,18,7.09,7.73,11.36,18.1
TRN1205,Deccan Express,Guntur,Tirupati,197,12:00,Clear,23,50.89,3.6,9.83,14.09
TRN1206,Jan Shatabdi,Hyderabad,Vijayawada,681,15:00,Clear,37,28.98,3.78,8.99,7.11
TRN1207,Shatabdi Express,Secunderabad,Nizamabad,505,02:00,Clear,36,30.15,0.0,0.0,7.83
TRN1208,Duronto Express,Nellore,Chennai,681,03:00,Clear,24,39.72,4.59,19.63,17.42
TRN1209,Intercity Express,Hyderabad,Vijayawada,261,13:00,Cloudy,37,52.56,4.6,6.57,8.33
TRN1210,Superfast Express,Vijayawada,Visakhapatnam,479,21:00,Clear,30,21.45,1.69,9.22,15.49
TRN1211,Duronto Express,Vijayawada,Visakhapatnam,329,10:00,Clear,21,25.22,4.32,8.78,22.27
TRN1212,Duronto Express,Kurnool,Hyderabad,278,20:00,Clear,29,63.02,1.44,7.27,22.55
TRN1213,Garib Rath,Vijayawada,Visakhapatnam,660,02:00,Rain,22,45.23,6.87,7.75,17.11
TRN1214,Deccan Express,Hyderabad,Vijayawada,257,20:00,Clear,27,7.11,9.66,11.29,30.4
TRN1215,Superfast Express,Secunderabad,Nizamabad,652,01:00,Clear,28,5.41,6.52,20.68,20.98
TRN1216,Vande Bharat,Vijayawada,Visakhapatnam,596,01:00,Cloudy,19,7.81,1.68,7.14,16.98
TRN1217,Jan Shatabdi,Nellore,Chennai,667,23:00,Rain,23,64.51,2.41,7.59,16.6
TRN1218,Jan Shatabdi,Secunderabad,Nizamabad,611,03:00,Rain,39,1.44,7.41,10.5,21.37
TRN1219,Duronto Express,Guntur,Tirupati,460,08:00,Cloudy,34,2.17,4.76,2.85,20.83
TRN1220,Duronto Express,Hyderabad,Warangal,515,22:00,Rain,35,7.47,8.53,0.0,19.62
TRN1221,Krishna Express,Guntur,Tirupati,555,08:00,Cloudy,38,24.99,0.43,11.75,20.88
TRN1222,Duronto Express,Nellore,Chennai,347,01:00,Clear,20,29.05,8.83,25.81,23.35
TRN1223,Jan Shatabdi,Secunderabad,Nizamabad,698,04:00,Clear,23,77.42,1.56,16.0,14.9
TRN1224,Garib Rath,Secunderabad,Nizamabad,348,01:00,Clear,23,78.38,6.21,1.97,11.93
TRN1225,Garib Rath,Hyderabad,Vijayawada,210,00:00,Clear,37,71.22,5.78,5.53,11.44
TRN1226,Duronto Express,Nellore,Chennai,513,05:00,Rain,29,79.05,3.82,9.94,22.85
TRN1227,Deccan Express,Secunderabad,Nizamabad,305,21:00,Rain,33,56.96,2.74,5.13,18.19
TRN1228,Krishna Express,Hyderabad,Warangal,358,15:00,Cloudy,34,67.32,0.0,10.83,9.81
TRN1229,Shatabdi Express,Hyderabad,Vijayawada,351,01:00,Clear,25,0.31,1.31,11.53,12.9
TRN1230,Intercity Express,Kurnool,Hyderabad,270,20:00,Clear,38,32.66,3.49,10.4,17.23
TRN1231,Vande Bharat,Kurnool,Hyderabad,472,02:00,Clear,32,20.82,6.09,12.55,11.97
TRN1232,Superfast Express,Nellore,Chennai,629,13:00,Heavy Rain,25,10.31,5.6,17.15,32.24
TRN1233,Duronto Express,Hyderabad,Vijayawada,360,07:00,Rain,23,22.4,3.26,13.25,27.94
TRN1234,Deccan Express,Guntur,Tirupati,252,06:00,Cloudy,26,24.38,6.27,4.25,15.72
TRN1235,Duronto Express,Nellore,Chennai,199,05:00,Clear,21,7.72,0.0,5.93,0.0
TRN1236,Deccan Express,Guntur,Tirupati,147,07:00,Heavy Rain,31,27.23,8.12,16.67,39.71
TRN1237,Shatabdi Express,Hyderabad,Warangal,655,13:00,Heavy Rain,38,5.09,6.39,16.14,35.46
TRN1238,Vande Bharat,Vijayawada,Visakhapatnam,559,00:00,Clear,40,34.43,7.57,3.42,7.2
TRN1239,Deccan Express,Hyderabad,Warangal,105,19:00,Clear,25,75.85,10.73,6.1,25.82
TRN1240,Duronto Express,Nellore,Chennai,155,12:00,Fog,29,76.04,9.44,18.35,30.77
TRN1241,Vande Bharat,Kurnool,Hyderabad,341,21:00,Clear,34,3.18,8.23,9.44,20.67
TRN1242,Deccan Express,Secunderabad,Nizamabad,503,13:00,Cloudy,30,37.94,0.0,14.74,22.38
TRN1243,Vande Bharat,Nellore,Chennai,269,07:00,Clear,18,27.11,6.28,17.38,16.42
TRN1244,Deccan Express,Hyderabad,Vijayawada,423,04:00,Clear,34,9.11,5.46,8.72,4.53
TRN1245,Deccan Express,Kurnool,Hyderabad,476,10:00,Clear,28,10.52,2.17,0.0,7.71
TRN1246,Superfast Express,Secunderabad,Nizamabad,188,11:00,Cloudy,18,65.9,0.0,9.01,5.03
TRN1247,Rajdhani Express,Vijayawada,Visakhapatnam,403,00:00,Cloudy,35,7.38,9.53,23.39,24.09
TRN1248,Shatabdi Express,Kurnool,Hyderabad,120,06:00,Clear,26,51.72,8.43,9.63,17.14
TRN1249,Rajdhani Express,Hyderabad,Warangal,197,08:00,Cloudy,20,57.92,5.23,2.79,11.53
